scenario_id,method,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,solver_status,scheduled_fraction,solve_time_s,mean_decision_latency_ms,p95_decision_latency_ms,seed,decision_calls
real_5000,mlp_ppo,11479.685546875,10492.134765625,-274.7865234375,274.7865234375,11204.8990234375,12.1,1.0,0.0,0.0,,,,,11.904996000230312,24.3335249775555,,
real_5001,mlp_ppo,11867.45703125,14252.923828125,101.29238281250001,0.0,11968.7494140625,13.42,1.0,0.0,0.0,,,,,11.99083800194785,23.878430027980357,,
real_5000,dqn,11403.57421875,10111.798828125,-312.82011718750005,312.82011718750005,11090.7541015625,17.68,0.6,0.0,0.0,,,,,5.316992000443861,11.360114996205084,,
real_5001,dqn,11736.744140625,14285.8564453125,104.58564453125001,0.0,11841.32978515625,20.96,0.5,0.0,0.0,,,,,5.3897299990057945,11.439464974682778,,
real_5000,dfps,10844.256621142013,10603.029406765665,110.30294067656651,0.0,10954.55956181858,7.62,0.46,0.0,0.0,5.0,,,,191.98320002760738,738.840460043866,2026.0,5.0
real_5001,dfps,11540.628576999963,14265.425362752769,476.5425362752769,0.0,12017.17111327524,15.7,0.52,0.0,0.0,5.0,,,,13.21026001824066,25.2602000371553,2026.0,5.0
real_5000,dfps,10844.256621142013,10600.15930306295,110.01593030629502,0.0,10954.272551448308,7.76,0.46,0.0,0.0,5.0,,,,14.769360003992915,29.065900028217584,7.0,5.0
real_5001,dfps,11591.827598374904,14706.38357400512,520.6383574005121,0.0,12112.465955775417,16.04,0.64,0.0,0.0,5.0,,,,9.899979992769659,17.552819999400526,7.0,5.0
real_5000,dfps,10786.934384028615,10639.518542327136,113.9518542327136,0.0,10900.886238261328,7.62,0.48,0.0,0.0,5.0,,,,16.417620016727597,35.0175799918361,42.0,5.0
real_5001,dfps,11576.715582985125,14653.606858360727,515.3606858360727,0.0,12092.076268821198,15.64,0.6,0.0,0.0,5.0,,,,11.941120005212724,28.413660021033134,42.0,5.0
real_5000,dfps,10847.507018660128,10600.686484866621,110.0686484866621,0.0,10957.57566714679,7.72,0.46,0.0,0.0,5.0,,,,13.52516000624746,22.530860011465847,123.0,5.0
real_5001,dfps,11592.507022988375,14706.239161193338,520.6239161193338,0.0,12113.130939107708,15.92,0.64,0.0,0.0,5.0,,,,17.99903999781236,38.49361997563392,123.0,5.0
real_5000,dfps,10864.749229556828,10583.661718955958,108.36617189559584,0.0,10973.115401452424,8.38,0.46,0.0,0.0,5.0,,,,12.308019993361086,17.189760017208755,777.0,5.0
real_5001,dfps,11589.07603557044,14698.367254486539,519.8367254486539,0.0,12108.912761019095,16.16,0.66,0.0,0.0,5.0,,,,13.776539999525994,23.17728002090007,777.0,5.0
real_5000,tags,11045.544034813238,10517.294576761113,101.72945767611128,0.0,11147.273492489348,7.76,0.6,0.0,0.0,5.0,,,,13.73985999962315,26.036540023051202,2026.0,5.0
real_5001,tags,12425.921327912518,13587.884296312344,408.78842963123446,0.0,12834.709757543753,6.0,0.58,0.0,0.0,5.0,,,,13.516220008023083,23.97552002221346,2026.0,5.0
real_5000,tags,11867.425314223012,9889.043316287563,38.90433162875634,0.0,11906.329645851769,11.52,0.66,0.0,0.0,5.0,,,,14.774620020762086,25.172980036586523,7.0,5.0
real_5001,tags,11954.53123549966,14131.960959119953,463.19609591199537,0.0,12417.727331411656,5.48,0.5,0.0,0.0,5.0,,,,9.849619993474334,13.314619997981936,7.0,5.0
real_5000,tags,11196.11999745583,10269.719925546247,76.97199255462475,0.0,11273.091990010455,15.02,0.58,0.0,0.0,5.0,,,,10.1890999940224,12.565559998620301,42.0,5.0
real_5001,tags,11626.337942769878,14250.877470917658,475.0877470917658,0.0,12101.425689861644,18.96,0.56,0.0,0.0,5.0,,,,10.965120000764728,13.8016999932006,42.0,5.0
real_5000,tags,11233.240163521137,9890.984304143241,39.09843041432414,0.0,11272.338593935461,11.62,0.46,0.0,0.0,5.0,,,,11.503979994449764,13.227979990188032,123.0,5.0
real_5001,tags,11754.71377538133,13837.413990100926,433.7413990100926,0.0,12188.455174391422,14.22,0.36,0.0,0.0,5.0,,,,9.72540001384914,11.227840033825487,123.0,5.0
real_5000,tags,10832.60082787109,10412.236919015715,91.22369190157151,0.0,10923.824519772663,7.58,0.36,0.0,0.0,5.0,,,,10.448840004391968,12.416499969549477,777.0,5.0
real_5001,tags,12313.920277401554,13576.944879475237,407.6944879475237,0.0,12721.614765349077,7.64,0.58,0.0,0.0,6.0,,,,10.650716663803905,13.072225017822348,777.0,6.0
real_5000,hcbs_ppo,10658.46467931983,10431.616368462488,93.16163684624881,0.0,10751.626316166079,7.24,0.14,0.0,0.0,5.0,,,,8.380840020254254,9.90272001363337,2026.0,5.0
real_5001,hcbs_ppo,11783.936200403616,14597.655321670001,509.7655321670002,0.0,12293.701732570617,14.26,0.28,0.0,0.0,5.0,,,,8.911679999437183,11.043519992381334,2026.0,5.0
real_5000,hcbs_ppo,10655.75887646582,10195.608337730893,69.56083377308933,0.0,10725.31971023891,6.1,0.38,0.0,0.0,5.0,,,,8.789060008712113,10.605399985797703,7.0,5.0
real_5001,hcbs_ppo,11516.225362826499,14155.583724235079,465.55837242350793,0.0,11981.783735250006,12.92,0.6,0.0,0.0,5.0,,,,9.588200005237013,11.887520016171038,7.0,5.0
real_5000,hcbs_ppo,11619.499500952923,10888.26483690824,138.826483690824,0.0,11758.325984643747,12.98,0.7,0.0,0.0,5.0,,,,9.293220017571002,10.738660034257919,42.0,5.0
real_5001,hcbs_ppo,12691.876807681536,15929.696140202606,642.9696140202607,0.0,13334.846421701797,9.4,0.92,0.0,0.0,5.0,,,,9.752459998708218,11.421359982341528,42.0,5.0
real_5000,hcbs_ppo,10800.016105720479,10515.910897320342,101.5910897320342,0.0,10901.607195452512,9.84,0.36,0.0,0.0,5.0,,,,6.710459990426898,9.632679971400648,123.0,5.0
real_5001,hcbs_ppo,11606.485433268235,14663.193111392196,516.3193111392196,0.0,12122.804744407455,15.6,0.64,0.0,0.0,5.0,,,,9.28931999951601,11.133260012138635,123.0,5.0
real_5000,hcbs_ppo,11341.637361414696,10188.684038293715,68.86840382937153,0.0,11410.505765244068,6.18,0.84,0.0,0.0,5.0,,,,9.789200010709465,10.707980021834373,777.0,5.0
real_5001,hcbs_ppo,11571.793245458963,14423.811636791012,492.3811636791012,0.0,12064.174409138064,13.66,0.72,0.0,0.0,6.0,,,,9.928116642792398,11.59827497031074,777.0,6.0
