scenario_id,method,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,solver_status,scheduled_fraction,solve_time_s,mean_decision_latency_ms,p95_decision_latency_ms,seed,decision_calls
real_5000,s1_zero_delay,10883.41796875,10518.1142578125,-272.18857421875003,272.18857421875003,10611.22939453125,4.3,0.0,0.0,0.0,,,,,,,,
real_5000,s2_single_dc_temporal,11214.056640625,10425.994140625,-281.4005859375,281.4005859375,10932.6560546875,11.96,0.0,0.0,0.0,,,,,,,,
real_5000,greedy_spatiotemporal,10906.28515625,10430.041015625,-280.9958984375,280.9958984375,10625.2892578125,12.84,0.4,0.0,0.0,,,,,,,,
real_5000,edf,10994.814453125,10538.3017578125,-270.16982421875,270.16982421875,10724.64462890625,4.3,0.44,0.0,0.0,,,,,,,,
real_5000,carbon_greedy,12066.927734375,9653.818359375,-358.6181640625,358.6181640625,11708.3095703125,17.18,0.58,0.0,0.0,,,,,,,,
real_5000,heft,10906.284625973678,10430.040766136,-280.99592338639997,280.99592338639997,10625.288702587279,12.84,0.4,0.0,0.0,50.0,,,,,,,
real_5000,random,12061.169921875,10391.474609375,-284.8525390625,284.8525390625,11776.3173828125,14.94,0.74,0.0,0.0,,,,,,,,
real_5000,cpsat,10570.685015530058,10386.004406145534,-285.39955938544665,285.39955938544665,10285.285456144611,8.22,0.3,0.0,0.0,,OPTIMAL,1.0,16.6792291,,,,
real_5001,s1_zero_delay,12268.794921875,14196.984375,95.69843750000001,0.0,12364.493359375,3.76,0.0,0.0,0.0,,,,,,,,
real_5001,s2_single_dc_temporal,12004.25,14295.337890625,105.5337890625,0.0,12109.7837890625,15.24,0.0,0.0,0.0,,,,,,,,
real_5001,greedy_spatiotemporal,11455.3486328125,14291.359375,105.13593750000001,0.0,11560.4845703125,17.14,0.6,0.0,0.0,,,,,,,,
real_5001,edf,12279.7392578125,13718.794921875,47.879492187500006,0.0,12327.61875,3.76,0.42,0.0,0.0,,,,,,,,
real_5001,carbon_greedy,12658.59375,13230.513671875,-0.9486328125000001,0.9486328125000001,12657.6451171875,19.16,0.6,0.0,0.0,,,,,,,,
real_5001,heft,11442.590995220657,14302.24716839644,106.22471683964396,0.0,11548.815712060301,17.14,0.6,0.0,0.0,50.0,,,,,,,
real_5001,random,12847.9873046875,14819.771484375,157.9771484375,0.0,13005.964453125,17.58,0.7,0.0,0.0,,,,,,,,
real_5001,cpsat,11393.326343802884,14226.359817209272,98.63598172092716,0.0,11491.962325523811,14.14,0.58,0.0,0.0,,OPTIMAL,1.0,22.5702184,,,,
real_5002,s1_zero_delay,11542.029296875,10306.564453125,-293.3435546875,293.3435546875,11248.6857421875,3.64,0.0,0.0,0.0,,,,,,,,
real_5002,s2_single_dc_temporal,11406.740234375,10429.3017578125,-281.06982421875,281.06982421875,11125.67041015625,11.42,0.0,0.0,0.0,,,,,,,,
real_5002,greedy_spatiotemporal,11109.541015625,10296.037109375,-294.3962890625,294.3962890625,10815.1447265625,11.92,0.58,0.0,0.0,,,,,,,,
real_5002,edf,11432.833984375,10344.123046875,-289.5876953125,289.5876953125,11143.2462890625,3.64,0.36,0.0,0.0,,,,,,,,
real_5002,carbon_greedy,11567.5263671875,9894.119140625,-334.5880859375,334.5880859375,11232.93828125,7.18,0.6,0.0,0.0,,,,,,,,
real_5002,heft,11109.540834989173,10296.03775136529,-294.3962248634711,294.3962248634711,10815.144610125702,11.92,0.58,0.0,0.0,50.0,,,,,,,
real_5002,random,12401.599609375,10624.43359375,-261.556640625,261.556640625,12140.04296875,18.16,0.7,0.0,0.0,,,,,,,,
real_5002,cpsat,10921.96644208348,10329.665404300216,-291.0334595699784,291.0334595699784,10630.932982513501,9.32,0.64,0.0,0.0,,FEASIBLE,1.0,30.2227569,,,,
real_5003,s1_zero_delay,12013.056640625,12791.107421875,-44.889257812500006,44.889257812500006,11968.1673828125,4.14,0.0,0.0,0.0,,,,,,,,
real_5003,s2_single_dc_temporal,11940.171875,12806.197265625,-43.3802734375,43.3802734375,11896.7916015625,12.78,0.0,0.0,0.0,,,,,,,,
real_5003,greedy_spatiotemporal,10982.94921875,12745.501953125,-49.449804687500006,49.449804687500006,10933.4994140625,10.58,0.8,0.0,0.0,,,,,,,,
real_5003,edf,11822.5751953125,12596.333984375,-64.36660156250001,64.36660156250001,11758.20859375,4.14,0.56,0.0,0.0,,,,,,,,
real_5003,carbon_greedy,12193.29296875,12244.1171875,-99.58828125000001,99.58828125000001,12093.7046875,12.28,0.5,0.0,0.0,,,,,,,,
real_5003,heft,10982.948369719754,12745.503004740676,-49.449699525932374,49.449699525932374,10933.498670193821,10.58,0.8,0.0,0.0,50.0,,,,,,,
real_5003,random,12273.43359375,13302.3955078125,6.23955078125,0.0,12279.67314453125,16.2,0.72,0.0,0.0,,,,,,,,
real_5003,cpsat,10962.844031249777,12771.92153146211,-46.807846853788945,46.807846853788945,10916.036184395987,9.34,0.8,0.0,0.0,,OPTIMAL,1.0,20.2973052,,,,
real_5004,s1_zero_delay,10671.798828125,12170.1728515625,-106.98271484375,106.98271484375,10564.81611328125,3.32,0.0,0.0,0.0,,,,,,,,
real_5004,s2_single_dc_temporal,10614.31640625,12221.12109375,-101.88789062500001,101.88789062500001,10512.428515625,12.76,0.0,0.0,0.0,,,,,,,,
real_5004,greedy_spatiotemporal,10087.482421875,11439.0,-180.10000000000002,180.10000000000002,9907.382421875,13.04,0.58,0.0,0.0,,,,,,,,
