episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,carbon_lambda
0,0,train_0543,12666.039273203187,10237.862550991058,73.7862550991058,0.0,12739.825528302292,15.3,0.62,0.0,0.0,7.0,1.0845846185759243
1,0,train_0366,12342.00862868777,10225.352412106562,72.53524121065621,0.0,12414.543869898427,16.16,0.82,0.0,0.0,7.0,1.1887650918257258
2,0,train_0211,12416.964662251126,10557.195757952344,105.71957579523442,0.0,12522.68423804636,16.68,0.7,0.0,0.0,7.0,1.7970328581645338
3,0,train_0229,13009.387378072888,10395.130655116696,89.51306551166964,0.0,13098.900443584558,16.5,0.78,0.0,0.0,7.0,1.734428042340475
4,0,train_0058,11959.402190163164,9926.819516541196,42.68195165411962,0.0,12002.084141817284,16.22,0.68,0.0,0.0,7.0,1.1947507436885094
5,0,train_0360,12416.60891986726,10186.025889325247,68.60258893252467,0.0,12485.211508799784,16.48,0.74,0.0,0.0,7.0,1.6466589521665727
6,0,train_0272,12448.332659791311,10626.306640682411,112.6306640682411,0.0,12560.963323859552,14.82,0.74,0.0,0.0,7.0,1.8968592631667593
7,0,train_0578,12305.322026542519,10237.269906006608,73.7269906006608,0.0,12379.04901714318,17.7,0.62,0.0,0.0,7.0,1.8968592631667593
8,0,train_0192,12661.415251819471,10547.1831630109,104.7183163010901,0.0,12766.133568120562,18.78,0.58,0.0,0.0,7.0,1.8968592631667593
9,0,train_0117,11989.973862155643,10241.247486667071,74.12474866670709,0.0,12064.09861082235,17.1,0.62,0.0,0.0,7.0,1.8968592631667593
10,0,train_0188,12245.05858440662,10540.322454100167,104.03224541001674,0.0,12349.090829816638,14.3,0.7,0.0,0.0,7.0,1.8968592631667593
11,0,train_0202,12242.159907938849,10759.708647451516,125.97086474515163,0.0,12368.130772684,16.36,0.5,0.0,0.0,7.0,1.8968592631667593
12,0,train_0208,12465.276880691737,10367.561013236174,86.75610132361744,0.0,12552.032982015355,14.68,0.62,0.0,0.0,7.0,1.8968592631667593
13,0,train_0341,12608.141428816187,10695.425646962005,119.5425646962005,0.0,12727.683993512388,16.32,0.62,0.0,0.0,7.0,1.8968592631667593
14,0,train_0251,12602.669869071804,10266.09209082882,76.60920908288209,0.0,12679.279078154686,14.84,0.7,0.0,0.0,7.0,1.8968592631667593
15,0,train_0323,12585.45301036314,10518.762353244983,101.87623532449834,0.0,12687.329245687639,16.16,0.7,0.0,0.0,7.0,1.8968592631667593
16,0,train_0297,12513.010885596566,10352.433340504751,85.2433340504751,0.0,12598.254219647042,14.42,0.72,0.0,0.0,7.0,1.8968592631667593
17,0,train_0441,12376.716791734143,10481.547567506856,98.15475675068556,0.0,12474.871548484829,15.24,0.54,0.0,0.0,7.0,1.8968592631667593
18,0,train_0030,12374.964072825496,10190.889423147019,69.08894231470185,0.0,12444.053015140198,16.96,0.68,0.0,0.0,7.0,1.8968592631667593
19,0,train_0258,12809.585577095704,10660.29412965363,116.02941296536301,0.0,12925.614990061067,14.6,0.68,0.0,0.0,7.0,1.8968592631667593
20,0,train_0567,13369.86606712182,10682.827805981713,118.28278059817131,0.0,13488.148847719991,16.94,0.64,0.0,0.0,7.0,1.8968592631667593
21,0,train_0034,12178.57318169382,10447.358796334727,94.73587963347273,0.0,12273.309061327293,15.44,0.76,0.0,0.0,7.0,1.8968592631667593
22,0,train_0367,12445.322512316354,10133.99833634613,63.39983363461306,0.0,12508.722345950966,14.5,0.66,0.0,0.0,7.0,1.8968592631667593
23,0,train_0099,12008.580754854745,10257.518162678942,75.75181626789417,0.0,12084.332571122639,16.48,0.62,0.0,0.0,7.0,1.8968592631667593
24,0,train_0378,12476.376144252225,10582.17577096878,108.21757709687809,0.0,12584.593721349103,16.7,0.74,0.0,0.0,7.0,1.8968592631667593
25,0,train_0454,12926.772818044932,10710.809202065126,121.08092020651257,0.0,13047.853738251444,16.82,0.72,0.0,0.0,7.0,1.8968592631667593
26,0,train_0308,12302.788845060257,10517.405349488556,101.74053494885557,0.0,12404.529380009113,17.88,0.7,0.0,0.0,7.0,1.8968592631667593
27,0,train_0407,12468.237701814629,10670.430222454868,117.04302224548684,0.0,12585.280724060116,16.64,0.58,0.0,0.0,7.0,1.8968592631667593
28,0,train_0318,12218.274333776666,10274.84948301271,77.48494830127093,0.0,12295.759282077937,17.5,0.62,0.0,0.0,7.0,1.8968592631667593
29,0,train_0420,12212.200382777059,10536.03536461799,103.60353646179902,0.0,12315.803919238857,15.96,0.76,0.0,0.0,7.0,1.8968592631667593
30,0,train_0252,12067.809026390758,10135.119906458269,63.511990645826884,0.0,12131.321017036586,14.98,0.68,0.0,0.0,7.0,1.8968592631667593
31,0,train_0063,12322.158167187674,10762.043439834059,126.20434398340586,0.0,12448.362511171079,14.6,0.68,0.0,0.0,7.0,1.8968592631667593
32,0,train_0022,12622.603299693745,10579.73566953008,107.97356695300806,0.0,12730.576866646752,17.56,0.7,0.0,0.0,7.0,1.8968592631667593
33,0,train_0027,12700.307914119094,10724.771606970955,122.4771606970955,0.0,12822.785074816189,15.02,0.7,0.0,0.0,7.0,1.8968592631667593
34,0,train_0244,12182.278619164841,10587.820034605758,108.78200346057584,0.0,12291.060622625417,17.34,0.58,0.0,0.0,7.0,1.8968592631667593
35,0,train_0559,12382.235777346184,10861.760020313555,136.17600203135552,0.0,12518.41177937754,17.96,0.78,0.0,0.0,7.0,1.8968592631667593
36,0,train_0359,12497.841049069997,10547.808194185869,104.78081941858692,0.0,12602.621868488584,15.28,0.74,0.0,0.0,7.0,1.8968592631667593
37,0,train_0253,12177.244865872011,10092.294221254811,59.22942212548114,0.0,12236.474287997493,16.38,0.6,0.0,0.0,7.0,1.8968592631667593
38,0,train_0263,11986.657645044672,10243.574185213456,74.35741852134561,0.0,12061.015063566017,16.3,0.78,0.0,0.0,7.0,1.8968592631667593
39,0,train_0020,13288.50908738161,10379.477606859124,87.94776068591237,0.0,13376.456848067523,14.68,0.74,0.0,0.0,7.0,1.8968592631667593
40,0,train_0160,12356.72054133187,10502.025485567978,100.20254855679778,0.0,12456.923089888667,16.64,0.66,0.0,0.0,7.0,1.8968592631667593
41,0,train_0131,13059.654394224119,10611.883471908614,111.18834719086135,0.0,13170.842741414981,15.72,0.82,0.0,0.0,7.0,1.8968592631667593
42,0,train_0151,12510.522203630428,10601.141792314334,110.11417923143345,0.0,12620.636382861861,15.88,0.58,0.0,0.0,7.0,1.8968592631667593
43,0,train_0293,12019.844094258022,10289.058802348616,78.90588023486163,0.0,12098.749974492883,14.72,0.68,0.0,0.0,7.0,1.8968592631667593
44,0,train_0494,12361.381648432802,10100.113482395554,60.011348239555446,0.0,12421.392996672357,15.64,0.72,0.0,0.0,7.0,1.8968592631667593
45,0,train_0193,12293.28312805673,10669.760374015053,116.97603740150535,0.0,12410.259165458236,15.08,0.64,0.0,0.0,7.0,1.8968592631667593
46,0,train_0369,12243.895738577376,10654.462973637412,115.44629736374118,0.0,12359.342035941118,14.92,0.62,0.0,0.0,7.0,1.8968592631667593
47,0,train_0061,12329.28924629657,10305.932185779773,80.59321857797732,0.0,12409.882464874547,15.38,0.64,0.0,0.0,7.0,1.8968592631667593
48,0,train_0531,12559.27770194493,10537.027500386426,103.70275003864263,0.0,12662.980451983572,16.88,0.58,0.0,0.0,7.0,1.8968592631667593
