episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs
0,0,train_0053,12285.598585773947,10715.700184071075,121.57001840710745,0.0,12407.168604181054,16.1,0.82,0.0,0.0,5.0
1,0,train_0464,12435.56685361787,10368.05919443845,86.80591944384506,0.0,12522.372773061714,15.76,0.76,0.0,0.0,5.0
2,0,train_0392,12336.654702766635,10513.66724815977,101.36672481597708,0.0,12438.021427582611,16.08,0.68,0.0,0.0,5.0
3,0,train_0263,11971.727635918925,10064.284848174806,56.42848481748061,0.0,12028.156120736407,15.6,0.7,0.0,0.0,5.0
4,0,train_0259,12693.354739791212,10420.081553547658,92.00815535476578,0.0,12785.362895145978,14.96,0.5,0.0,0.0,5.0
5,0,train_0515,12403.982269515194,10490.194650014782,99.01946500147824,0.0,12503.001734516673,17.14,0.74,0.0,0.0,5.0
6,0,train_0051,12175.146551768448,10806.548016461362,130.65480164613618,0.0,12305.801353414585,17.84,0.62,0.0,0.0,5.0
7,0,train_0418,12656.043284204221,10483.083360337283,98.30833603372831,0.0,12754.351620237949,17.4,0.64,0.0,0.0,5.0
8,0,train_0120,11939.668805262654,10313.090944984091,81.30909449840911,0.0,12020.977899761063,16.56,0.64,0.0,0.0,5.0
9,0,train_0056,11760.311166813683,9967.477710587518,46.74777105875182,0.0,11807.058937872434,18.34,0.62,0.0,0.0,5.0
10,0,train_0315,12727.857701425619,10447.831899946334,94.78318999463336,0.0,12822.640891420253,16.46,0.66,0.0,0.0,5.0
11,0,train_0585,12565.76475739387,10453.454434718673,95.3454434718673,0.0,12661.110200865738,12.36,0.54,0.0,0.0,5.0
12,0,train_0441,12518.331165033549,10395.107187329457,89.51071873294569,0.0,12607.841883766494,16.58,0.7,0.0,0.0,5.0
13,0,train_0456,12511.452758842195,10336.761137400194,83.67611374001936,0.0,12595.128872582214,15.84,0.64,0.0,0.0,5.0
14,0,train_0430,12270.748975554006,10422.382277924138,92.23822779241382,0.0,12362.98720334642,15.68,0.68,0.0,0.0,5.0
15,0,train_0471,12701.156310552782,10601.530806921855,110.15308069218554,0.0,12811.309391244968,13.94,0.76,0.0,0.0,5.0
16,0,train_0307,12375.373470330196,10214.559432452825,71.45594324528247,0.0,12446.829413575479,16.24,0.6,0.0,0.0,5.0
17,0,train_0076,12247.835229816865,10589.814206199735,108.9814206199735,0.0,12356.816650436838,16.4,0.7,0.0,0.0,5.0
18,0,train_0503,13234.900678583006,10226.81617060893,72.68161706089305,0.0,13307.582295643899,16.12,0.78,0.0,0.0,5.0
19,0,train_0270,12243.815505791645,10598.1267465521,109.81267465520996,0.0,12353.628180446854,16.34,0.6,0.0,0.0,5.0
20,0,train_0300,11914.301796368996,10282.317534990594,78.23175349905942,0.0,11992.533549868056,14.48,0.64,0.0,0.0,5.0
21,0,train_0222,12427.029828898289,10506.746407848494,100.67464078484937,0.0,12527.704469683138,18.28,0.7,0.0,0.0,5.0
22,0,train_0109,12682.971634180598,10362.696111495487,86.26961114954867,0.0,12769.241245330146,16.82,0.7,0.0,0.0,5.0
23,0,train_0556,12575.986282541062,10181.749896267173,68.17498962671725,0.0,12644.16127216778,14.12,0.74,0.0,0.0,5.0
24,0,train_0468,12415.694485376265,9988.743546895908,48.87435468959084,0.0,12464.568840065856,15.86,0.66,0.0,0.0,5.0
25,0,train_0386,12452.286315903844,10250.357186947269,75.0357186947269,0.0,12527.322034598572,14.92,0.6,0.0,0.0,5.0
26,0,train_0241,12190.978388086296,10141.738355202702,64.17383552027023,0.0,12255.152223606567,15.78,0.52,0.0,0.0,5.0
27,0,train_0493,12063.067606206523,10401.929749549758,90.19297495497577,0.0,12153.2605811615,16.78,0.7,0.0,0.0,5.0
28,0,train_0327,12374.113634068379,10704.88649101145,120.48864910114499,0.0,12494.602283169525,17.2,0.62,0.0,0.0,5.0
29,0,train_0266,12456.010431895003,10642.676478128627,114.26764781286275,0.0,12570.278079707867,16.08,0.62,0.0,0.0,5.0
30,0,train_0270,12294.283221790189,10408.378826558966,90.83788265589665,0.0,12385.121104446085,14.82,0.64,0.0,0.0,5.0
31,0,train_0136,12359.97998229697,10254.360037153154,75.43600371531538,0.0,12435.415986012285,16.68,0.64,0.0,0.0,5.0
32,0,train_0055,12690.090995232582,10288.229208872643,78.82292088726427,0.0,12768.913916119845,13.92,0.64,0.0,0.0,5.0
33,0,train_0332,12020.685154876039,10188.85505852632,68.88550585263202,0.0,12089.57066072867,15.26,0.72,0.0,0.0,5.0
34,0,train_0532,12797.956780760403,10199.69986948351,69.96998694835092,0.0,12867.926767708754,15.86,0.56,0.0,0.0,5.0
