episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
36,2,train_0420,12218.37890625,10520.2236328125,102.02236328125001,0.0,12320.40126953125,16.64,0.58,0.0,0.0
37,2,train_0373,12390.94140625,10949.5625,144.95625,0.0,12535.89765625,16.46,0.66,0.0,0.0
38,2,train_0204,12484.7265625,10492.7734375,99.27734375,0.0,12584.00390625,17.44,0.64,0.0,0.0
39,2,train_0593,12286.166015625,10285.31640625,78.53164062500001,0.0,12364.69765625,14.28,0.64,0.0,0.0
40,2,train_0279,12398.3076171875,10669.587890625,116.9587890625,0.0,12515.26640625,16.42,0.66,0.0,0.0
41,2,train_0129,13127.458984375,10743.8056640625,124.38056640625001,0.0,13251.83955078125,15.46,0.6,0.0,0.0
42,2,train_0507,12112.1201171875,10734.9013671875,123.49013671875001,0.0,12235.61025390625,16.58,0.62,0.0,0.0
43,2,train_0096,12465.400390625,10798.05859375,129.805859375,0.0,12595.20625,15.9,0.6,0.0,0.0
44,2,train_0514,12790.064453125,10177.234375,67.7234375,0.0,12857.787890625,14.3,0.74,0.0,0.0
45,2,train_0367,12527.59375,10232.8583984375,73.28583984375,0.0,12600.87958984375,15.24,0.58,0.0,0.0
46,2,train_0068,12609.419921875,10763.859375,126.38593750000001,0.0,12735.805859375,15.3,0.66,0.0,0.0
47,2,train_0026,11995.89453125,10242.3359375,74.23359375,0.0,12070.128125,16.4,0.76,0.0,0.0
48,3,train_0266,12495.6826171875,10732.7646484375,123.27646484375,0.0,12618.95908203125,15.94,0.76,0.0,0.0
49,3,train_0021,12458.572265625,10589.5263671875,108.95263671875,0.0,12567.52490234375,16.68,0.66,0.0,0.0
50,3,train_0084,12075.0380859375,10454.34375,95.434375,0.0,12170.4724609375,17.0,0.68,0.0,0.0
51,3,train_0308,12322.3857421875,10296.724609375,79.6724609375,0.0,12402.058203125,16.94,0.6,0.0,0.0
52,3,train_0582,12442.970703125,10682.35546875,118.23554687500001,0.0,12561.20625,14.8,0.74,0.0,0.0
53,3,train_0279,12478.099609375,10647.724609375,114.7724609375,0.0,12592.8720703125,17.46,0.6,0.0,0.0
54,3,train_0485,11951.498046875,10299.8291015625,79.98291015625,0.0,12031.48095703125,16.02,0.76,0.0,0.0
55,3,train_0550,12147.4833984375,10414.982421875,91.49824218750001,0.0,12238.981640625,17.94,0.56,0.0,0.0
56,3,train_0494,11763.94140625,10732.1396484375,123.21396484375,0.0,11887.15537109375,16.08,0.6,0.0,0.0
57,3,train_0377,11969.611328125,10799.330078125,129.9330078125,0.0,12099.5443359375,18.0,0.74,0.0,0.0
58,3,train_0264,11985.87109375,10348.046875,84.8046875,0.0,12070.67578125,16.68,0.64,0.0,0.0
59,3,train_0308,12303.5869140625,10222.974609375,72.2974609375,0.0,12375.884375,18.5,0.64,0.0,0.0
60,3,train_0159,11913.767578125,9997.28515625,49.728515625,0.0,11963.49609375,18.72,0.68,0.0,0.0
61,3,train_0298,11674.548828125,9965.09375,46.509375000000006,0.0,11721.058203125,15.14,0.6,0.0,0.0
62,3,train_0227,12706.466796875,10635.046875,113.5046875,0.0,12819.971484375,16.88,0.72,0.0,0.0
63,3,train_0148,12155.748046875,11021.951171875,152.19511718750002,0.0,12307.9431640625,19.42,0.66,0.0,0.0
64,3,train_0595,11876.166015625,10286.357421875,78.6357421875,0.0,11954.8017578125,16.54,0.68,0.0,0.0
65,3,train_0007,13084.25390625,11498.94140625,199.894140625,0.0,13284.148046875,15.92,0.72,0.0,0.0
66,3,train_0058,11556.5859375,10395.29296875,89.529296875,0.0,11646.115234375,16.58,0.6,0.0,0.0
67,3,train_0115,12515.4541015625,10609.806640625,110.98066406250001,0.0,12626.434765625,15.12,0.7,0.0,0.0
68,3,train_0581,11939.2109375,10892.1416015625,139.21416015625002,0.0,12078.42509765625,16.44,0.74,0.0,0.0
69,3,train_0415,12580.1552734375,11065.908203125,156.5908203125,0.0,12736.74609375,14.9,0.68,0.0,0.0
70,3,train_0529,12113.9072265625,10773.619140625,127.3619140625,0.0,12241.269140625,15.06,0.64,0.0,0.0
71,3,train_0120,12212.1025390625,10162.046875,66.2046875,0.0,12278.3072265625,17.3,0.68,0.0,0.0
72,3,train_0432,12092.951171875,10563.7314453125,106.37314453125,0.0,12199.32431640625,15.4,0.52,0.0,0.0
73,3,train_0221,12091.234375,10676.63671875,117.663671875,0.0,12208.898046875,16.26,0.68,0.0,0.0
74,3,train_0293,11878.259765625,10358.138671875,85.81386718750001,0.0,11964.0736328125,13.96,0.78,0.0,0.0
75,3,train_0002,12337.09765625,10475.44921875,97.544921875,0.0,12434.642578125,13.56,0.68,0.0,0.0
76,3,train_0370,12221.93359375,10960.927734375,146.0927734375,0.0,12368.0263671875,15.12,0.62,0.0,0.0
77,3,train_0498,12326.935546875,11144.61328125,164.46132812500002,0.0,12491.396875,15.78,0.78,0.0,0.0
78,3,train_0398,11830.234375,10534.71875,103.47187500000001,0.0,11933.70625,14.64,0.74,0.0,0.0
79,3,train_0092,12569.640625,10756.2373046875,125.62373046875001,0.0,12695.26435546875,16.06,0.72,0.0,0.0
80,4,train_0320,12247.76171875,11010.8623046875,151.08623046875002,0.0,12398.84794921875,15.12,0.7,0.0,0.0
81,4,train_0160,12055.54296875,10950.6796875,145.06796875,0.0,12200.6109375,15.32,0.82,0.0,0.0
82,4,train_0578,12262.0791015625,10625.484375,112.5484375,0.0,12374.6275390625,18.86,0.78,0.0,0.0
83,4,train_0528,12266.0693359375,10513.7080078125,101.37080078125001,0.0,12367.44013671875,15.7,0.56,0.0,0.0
84,4,train_0111,11862.1298828125,10493.3359375,99.33359375,0.0,11961.4634765625,14.66,0.68,0.0,0.0
85,4,train_0305,12063.771484375,10746.033203125,124.6033203125,0.0,12188.3748046875,15.84,0.6,0.0,0.0
86,4,train_0563,12329.66796875,10462.224609375,96.2224609375,0.0,12425.8904296875,15.76,0.62,0.0,0.0
87,4,train_0508,12400.443359375,10909.3515625,140.93515625,0.0,12541.378515625,14.02,0.68,0.0,0.0
88,4,train_0424,12421.01953125,10723.6484375,122.36484375,0.0,12543.384375,18.3,0.68,0.0,0.0
89,4,train_0383,12085.091796875,10561.2490234375,106.12490234375001,0.0,12191.21669921875,15.06,0.76,0.0,0.0
90,4,train_0025,11996.4248046875,11050.748046875,155.0748046875,0.0,12151.499609375,15.94,0.54,0.0,0.0
91,4,train_0445,12734.6953125,10948.671875,144.8671875,0.0,12879.5625,15.94,0.62,0.0,0.0
92,4,train_0284,12395.388671875,10554.53125,105.453125,0.0,12500.841796875,16.48,0.66,0.0,0.0
93,4,train_0054,11997.677734375,10669.380859375,116.9380859375,0.0,12114.6158203125,16.06,0.54,0.0,0.0
94,4,train_0146,12199.1416015625,11293.560546875,179.3560546875,0.0,12378.49765625,16.66,0.5,0.0,0.0
95,4,train_0324,12375.859375,10629.6484375,112.96484375,0.0,12488.82421875,15.06,0.62,0.0,0.0
96,5,train_0436,12521.095703125,11001.005859375,150.1005859375,0.0,12671.1962890625,16.0,0.66,0.0,0.0
97,5,train_0304,12564.189453125,10770.91015625,127.09101562500001,0.0,12691.28046875,16.0,0.62,0.0,0.0
98,5,train_0367,12344.0390625,10449.900390625,94.9900390625,0.0,12439.0291015625,15.82,0.62,0.0,0.0
99,5,train_0522,12572.1455078125,10554.7919921875,105.47919921875001,0.0,12677.62470703125,15.96,0.6,0.0,0.0
100,5,train_0411,12517.2138671875,10882.322265625,138.23222656250002,0.0,12655.44609375,17.22,0.7,0.0,0.0
101,5,train_0216,11794.82421875,10624.96484375,112.49648437500001,0.0,11907.320703125,16.96,0.68,0.0,0.0
102,5,train_0385,12755.16015625,10813.158203125,131.3158203125,0.0,12886.4759765625,16.22,0.6,0.0,0.0
103,5,train_0358,12266.826171875,10909.662109375,140.9662109375,0.0,12407.7923828125,16.18,0.6,0.0,0.0
104,5,train_0064,12424.3564453125,11088.9970703125,158.89970703125002,0.0,12583.25615234375,15.82,0.68,0.0,0.0
105,5,train_0035,12794.40234375,11233.4404296875,173.34404296875002,0.0,12967.74638671875,16.94,0.76,0.0,0.0
106,5,train_0396,12328.2998046875,10871.67578125,137.167578125,0.0,12465.4673828125,14.82,0.52,0.0,0.0
107,5,train_0232,12325.6103515625,10832.2880859375,133.22880859375002,0.0,12458.83916015625,15.2,0.6,0.0,0.0
108,5,train_0358,12045.423828125,11093.1123046875,159.31123046875,0.0,12204.73505859375,16.84,0.42,0.0,0.0
109,5,train_0193,12462.6748046875,10873.03125,137.303125,0.0,12599.9779296875,14.2,0.68,0.0,0.0
