episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs
0,0,train_0543,12667.188908932536,10221.586150004196,72.15861500041956,0.0,12739.347523932956,15.1,0.62,0.0,0.0,5.0
1,0,train_0366,12745.538717704047,10043.849158501276,54.38491585012762,0.0,12799.923633554174,15.48,0.72,0.0,0.0,5.0
2,0,train_0211,12434.394717029272,10224.164626660153,72.41646266601529,0.0,12506.811179695287,15.52,0.48,0.0,0.0,5.0
3,0,train_0229,12846.398110256443,10533.240203826674,103.32402038266737,0.0,12949.722130639111,15.9,0.66,0.0,0.0,5.0
4,0,train_0058,11881.831577070006,9967.844410965177,46.78444109651773,0.0,11928.616018166524,13.78,0.64,0.0,0.0,5.0
5,0,train_0360,12497.610912712795,10300.389860903593,80.03898609035933,0.0,12577.649898803154,15.42,0.7,0.0,0.0,5.0
6,0,train_0272,12568.155079863642,10413.296416870042,91.3296416870042,0.0,12659.484721550645,13.84,0.6,0.0,0.0,5.0
7,0,train_0578,12428.103138425613,10272.189055592065,77.21890555920655,0.0,12505.32204398482,19.1,0.7,0.0,0.0,5.0
8,0,train_0192,12497.950041691482,10525.971682738642,102.5971682738642,0.0,12600.547209965345,16.8,0.6,0.0,0.0,5.0
9,0,train_0117,12225.68400672636,9909.458384931191,40.94583849311912,0.0,12266.629845219479,16.66,0.8,0.0,0.0,5.0
10,0,train_0188,12520.76635963465,10415.135676399252,91.51356763992517,0.0,12612.279927274576,15.14,0.78,0.0,0.0,5.0
11,0,train_0202,12135.78123548632,10857.09170054107,135.70917005410703,0.0,12271.490405540428,16.6,0.5,0.0,0.0,5.0
12,0,train_0208,12661.837647605305,10218.385103785215,71.83851037852146,0.0,12733.676157983828,15.6,0.7,0.0,0.0,5.0
13,0,train_0341,12341.074057099851,10926.58666303106,142.65866630310595,0.0,12483.732723402958,17.0,0.58,0.0,0.0,5.0
14,0,train_0251,12488.15726882747,10205.756334387166,70.57563343871662,0.0,12558.732902266187,14.98,0.72,0.0,0.0,5.0
15,0,train_0323,12576.450758851892,10608.474127284873,110.84741272848733,0.0,12687.29817158038,16.66,0.64,0.0,0.0,5.0
16,0,train_0297,12398.051846245697,10213.057735869208,71.30577358692081,0.0,12469.357619832617,14.02,0.64,0.0,0.0,5.0
17,0,train_0441,12364.158374250208,10549.798898187957,104.97988981879571,0.0,12469.138264069004,16.08,0.68,0.0,0.0,5.0
18,0,train_0030,12262.477072579175,10565.157998403178,106.51579984031778,0.0,12368.992872419492,15.84,0.6,0.0,0.0,5.0
