episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs
52,0,train_0086,11947.34883251952,9921.055399527308,42.105539952730766,0.0,11989.45437247225,15.82,0.62,0.0,0.0,5.0
53,0,train_0282,11943.808475393656,10456.442620831865,95.64426208318656,0.0,12039.452737476842,15.56,0.7,0.0,0.0,5.0
54,0,train_0046,12212.063596684802,9984.239336429107,48.42393364291075,0.0,12260.487530327713,16.38,0.72,0.0,0.0,5.0
55,0,train_0436,12462.422159566617,10792.752425926046,129.27524259260463,0.0,12591.697402159221,16.68,0.54,0.0,0.0,5.0
56,0,train_0154,12736.61942152691,10720.386584601567,122.0386584601567,0.0,12858.658079987066,18.14,0.7,0.0,0.0,5.0
57,0,train_0551,12005.271806530021,9968.510429151816,46.851042915181644,0.0,12052.122849445203,15.38,0.8,0.0,0.0,5.0
58,0,train_0101,12399.61221344153,10436.630414667112,93.66304146671119,0.0,12493.27525490824,16.44,0.56,0.0,0.0,5.0
59,0,train_0375,12350.00670964519,10585.25550434767,108.52555043476696,0.0,12458.532260079955,16.26,0.64,0.0,0.0,5.0
60,0,train_0309,12471.651491396588,10706.400949560291,120.64009495602915,0.0,12592.291586352616,14.82,0.7,0.0,0.0,5.0
61,0,train_0550,12336.371731560404,10106.721955516994,60.67219555169941,0.0,12397.043927112103,18.12,0.58,0.0,0.0,5.0
62,0,train_0370,12482.06443272391,10698.267126797475,119.82671267974747,0.0,12601.891145403657,16.4,0.66,0.0,0.0,5.0
63,0,train_0518,12430.519646658297,10384.697610129242,88.46976101292421,0.0,12518.98940767122,15.34,0.68,0.0,0.0,5.0
64,0,train_0278,12396.055627597343,10572.36915951381,107.23691595138098,0.0,12503.292543548723,17.86,0.72,0.0,0.0,5.0
65,0,train_0130,11989.345913037116,10613.445749312135,111.34457493121354,0.0,12100.69048796833,14.16,0.68,0.0,0.0,5.0
66,0,train_0113,12060.066521570632,10169.84691198468,66.98469119846796,0.0,12127.0512127691,17.52,0.54,0.0,0.0,5.0
67,0,train_0519,12738.167613311416,10606.33113319365,110.63311331936494,0.0,12848.800726630781,17.58,0.72,0.0,0.0,5.0
68,0,train_0121,12330.888654687587,10265.441866662568,76.54418666625679,0.0,12407.432841353844,15.64,0.6,0.0,0.0,5.0
69,0,train_0438,12057.127420070818,10509.106196984074,100.9106196984074,0.0,12158.038039769224,15.54,0.66,0.0,0.0,5.0
70,0,train_0316,12488.468457390347,10231.473960197472,73.14739601974725,0.0,12561.615853410094,17.5,0.68,0.0,0.0,5.0
71,0,train_0166,11974.333923772403,10342.579017192773,84.2579017192773,0.0,12058.59182549168,15.52,0.74,0.0,0.0,5.0
72,0,train_0246,12488.4963406913,10360.96602576779,86.09660257677898,0.0,12574.592943268079,15.0,0.52,0.0,0.0,5.0
73,0,train_0478,12399.680892553506,10643.06874008687,114.30687400868702,0.0,12513.987766562193,16.1,0.64,0.0,0.0,5.0
74,0,train_0271,12001.604631457474,10312.907932862458,81.29079328624576,0.0,12082.89542474372,15.62,0.6,0.0,0.0,5.0
75,0,train_0519,12764.967173448076,10803.269481338775,130.32694813387752,0.0,12895.294121581954,17.32,0.5,0.0,0.0,5.0
76,0,train_0567,13256.701980959944,10938.616642292436,143.86166422924362,0.0,13400.563645189188,16.64,0.7,0.0,0.0,5.0
77,0,train_0179,12136.138908319143,10389.005172164188,88.90051721641885,0.0,12225.03942553556,15.5,0.46,0.0,0.0,5.0
78,0,train_0315,12961.538098923806,10541.891166313853,104.18911663138533,0.0,13065.727215555191,17.22,0.66,0.0,0.0,5.0
79,0,train_0316,12490.887392844914,10166.783897940208,66.67838979402077,0.0,12557.565782638934,15.62,0.62,0.0,0.0,5.0
80,0,train_0325,12393.177768262878,10448.298499248474,94.82984992484745,0.0,12488.007618187725,14.46,0.76,0.0,0.0,5.0
81,0,train_0042,12542.995503227063,10425.761751003643,92.57617510036435,0.0,12635.571678327427,16.2,0.54,0.0,0.0,5.0
82,0,train_0221,12386.81501244588,10424.446958735112,92.44469587351124,0.0,12479.259708319392,16.66,0.7,0.0,0.0,5.0
83,0,train_0349,12291.098778737505,9966.63793468247,46.663793468247064,0.0,12337.762572205753,15.6,0.5,0.0,0.0,5.0
84,0,train_0550,12541.3187493559,10060.86306154316,56.086306154315935,0.0,12597.405055510215,18.5,0.56,0.0,0.0,5.0
85,0,train_0142,13060.14536056851,10257.243078656395,75.72430786563946,0.0,13135.869668434148,17.4,0.64,0.0,0.0,5.0
86,0,train_0386,12434.910144496675,10594.54424619985,109.454424619985,0.0,12544.36456911666,14.04,0.56,0.0,0.0,5.0
87,0,train_0458,12650.216135309614,10606.208191991074,110.62081919910743,0.0,12760.836954508723,15.4,0.64,0.0,0.0,5.0
88,0,train_0554,12151.220003780261,10362.076663290514,86.20766632905143,0.0,12237.427670109313,13.36,0.62,0.0,0.0,5.0
89,0,train_0104,12606.663340780748,10301.661875490849,80.16618754908487,0.0,12686.829528329832,17.56,0.72,0.0,0.0,5.0
90,0,train_0404,13111.324053270471,10513.952261427828,101.39522614278286,0.0,13212.719279413253,18.36,0.7,0.0,0.0,5.0
91,0,train_0187,12096.690521704757,10490.546594587175,99.05465945871748,0.0,12195.745181163475,15.44,0.72,0.0,0.0,5.0
92,0,train_0264,12209.662089431222,10380.57578750472,88.05757875047203,0.0,12297.719668181693,14.72,0.64,0.0,0.0,5.0
93,0,train_0008,12357.155290055716,10716.042123069215,121.60421230692155,0.0,12478.759502362638,14.1,0.78,0.0,0.0,5.0
94,0,train_0433,12216.829962138343,10106.243108552717,60.62431085527169,0.0,12277.454272993615,15.28,0.58,0.0,0.0,5.0
95,0,train_0019,12507.210507754195,10683.588577512535,118.35885775125354,0.0,12625.569365505447,15.68,0.7,0.0,0.0,5.0
96,0,train_0224,12601.479334726682,10535.413830926154,103.54138309261543,0.0,12705.020717819298,14.34,0.64,0.0,0.0,5.0
97,0,train_0298,11984.361464141215,9965.504874042992,46.550487404299204,0.0,12030.911951545515,15.1,0.56,0.0,0.0,5.0
98,0,train_0401,11973.20282893709,10092.444904179905,59.244490417990534,0.0,12032.44731935508,17.36,0.68,0.0,0.0,5.0
99,0,train_0280,12677.307636990598,10306.05453468595,80.60545346859509,0.0,12757.913090459193,15.7,0.68,0.0,0.0,5.0
100,0,train_0503,12944.668810460455,10619.396580227472,111.93965802274725,0.0,13056.608468483202,16.78,0.66,0.0,0.0,5.0
101,0,train_0076,12492.737867773376,10288.95613111067,78.89561311106701,0.0,12571.633480884442,16.18,0.62,0.0,0.0,5.0
102,0,train_0157,12383.068251396922,10464.041642011069,96.40416420110688,0.0,12479.47241559803,16.1,0.58,0.0,0.0,5.0
103,0,train_0154,12586.717158050804,11169.943884644323,166.9943884644323,0.0,12753.711546515236,19.9,0.64,0.0,0.0,5.0
104,0,train_0227,12474.45963506032,10781.704319713808,128.17043197138082,0.0,12602.630067031701,16.6,0.66,0.0,0.0,5.0
105,0,train_0001,11999.643258376938,10447.54565478448,94.75456547844806,0.0,12094.397823855386,13.8,0.72,0.0,0.0,5.0
106,0,train_0257,12355.917208078288,10661.405008786856,116.14050087868564,0.0,12472.057708956974,16.26,0.64,0.0,0.0,5.0
107,0,train_0228,11918.096308859815,10667.591108390416,116.75911083904157,0.0,12034.855419698855,15.62,0.64,0.0,0.0,5.0
108,0,train_0351,12632.595692772695,10605.313580838712,110.53135808387124,0.0,12743.127050856567,16.94,0.58,0.0,0.0,5.0
109,0,train_0345,12212.705937844043,10680.193783798684,118.01937837986844,0.0,12330.72531622391,15.44,0.66,0.0,0.0,5.0
110,0,train_0168,12772.482866112505,10433.447367080425,93.34473670804255,0.0,12865.827602820547,17.84,0.62,0.0,0.0,5.0
111,0,train_0256,12193.250721632703,10647.818389361702,114.78183893617025,0.0,12308.032560568874,16.52,0.68,0.0,0.0,5.0
112,0,train_0301,12628.613034009762,10660.552868673181,116.05528686731815,0.0,12744.668320877081,15.48,0.76,0.0,0.0,5.0
113,0,train_0501,12462.661147384313,10668.61767066531,116.86176706653096,0.0,12579.522914450845,18.08,0.64,0.0,0.0,5.0
114,0,train_0046,12197.036389840414,10039.386029417405,53.93860294174047,0.0,12250.974992782154,18.44,0.66,0.0,0.0,5.0
115,0,train_0369,12160.345227914222,10482.424033391988,98.2424033391988,0.0,12258.58763125342,14.44,0.82,0.0,0.0,5.0
116,0,train_0048,12503.666135983669,10221.056329401457,72.10563294014574,0.0,12575.771768923814,16.66,0.72,0.0,0.0,5.0
117,0,train_0159,11662.249933313058,10385.855575955044,88.58555759550437,0.0,11750.835490908563,17.64,0.72,0.0,0.0,5.0
118,0,train_0266,12508.58338190577,10362.79484518665,86.27948451866506,0.0,12594.862866424435,15.4,0.68,0.0,0.0,5.0
119,0,train_0486,12535.805156722952,10982.961157643475,148.29611576434746,0.0,12684.1012724873,14.08,0.66,0.0,0.0,5.0
120,0,train_0202,12560.997726688442,10896.35879407204,139.6358794072041,0.0,12700.633606095646,16.54,0.72,0.0,0.0,5.0
121,0,train_0299,12323.510842809286,10358.191682724355,85.81916827243549,0.0,12409.330011081722,14.68,0.6,0.0,0.0,5.0
122,0,train_0347,12229.08200858887,10514.810232438409,101.48102324384091,0.0,12330.563031832711,16.46,0.6,0.0,0.0,5.0
123,0,train_0455,12773.79067796469,10800.89688703863,130.08968870386306,0.0,12903.880366668553,17.7,0.68,0.0,0.0,5.0
124,0,train_0237,12084.833623588831,10284.059315443912,78.40593154439121,0.0,12163.239555133223,17.3,0.66,0.0,0.0,5.0
125,0,train_0339,12599.55450995974,10584.964300684478,108.49643006844781,0.0,12708.050940028188,15.16,0.62,0.0,0.0,5.0
126,0,train_0503,12997.058224832836,10570.407619600595,107.04076196005954,0.0,13104.098986792895,15.62,0.72,0.0,0.0,5.0
127,0,train_0262,12697.75011602102,10554.111737789834,105.41117377898337,0.0,12803.161289800002,16.14,0.7,0.0,0.0,5.0
128,0,train_0562,12379.460213651397,10372.321721380036,87.23217213800363,0.0,12466.6923857894,17.06,0.58,0.0,0.0,5.0
129,0,train_0237,12179.919862995575,10765.919938949157,126.59199389491569,0.0,12306.51185689049,16.42,0.56,0.0,0.0,5.0
130,0,train_0259,12940.105232126101,10262.029395875114,76.20293958751135,0.0,13016.308171713612,14.34,0.62,0.0,0.0,5.0
131,0,train_0013,12073.69525279337,10639.689606056649,113.96896060566488,0.0,12187.664213399035,14.36,0.66,0.0,0.0,5.0
132,0,train_0319,12522.736487675678,10736.190752238392,123.61907522383918,0.0,12646.355562899518,15.02,0.66,0.0,0.0,5.0
133,0,train_0281,12368.294991864084,10689.541603038586,118.9541603038586,0.0,12487.249152167942,16.66,0.7,0.0,0.0,5.0
134,0,train_0249,12049.790747466179,10562.853786797144,106.28537867971446,0.0,12156.076126145894,15.46,0.6,0.0,0.0,5.0
135,0,train_0374,12539.62463184741,10437.572398432174,93.7572398432174,0.0,12633.381871690626,16.66,0.72,0.0,0.0,5.0
