episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,carbon_lambda
0,0,train_0053,12261.1142578125,10877.228515625,137.7228515625,0.0,12398.837109375,16.26,0.76,0.0,0.0,5.0
1,0,train_0464,12347.69921875,10482.5390625,98.25390625,0.0,12445.953125,16.76,0.54,0.0,0.0,5.0
2,0,train_0392,12434.841796875,10646.796875,114.6796875,0.0,12549.521484375,17.02,0.72,0.0,0.0,5.0
3,0,train_0263,12036.92578125,10130.005859375,63.000585937500006,0.0,12099.9263671875,15.92,0.68,0.0,0.0,5.0
4,0,train_0259,12666.72265625,10704.265625,120.4265625,0.0,12787.14921875,14.58,0.66,0.0,0.0,5.0
5,0,train_0515,12593.58203125,10085.2607421875,58.526074218750004,0.0,12652.10810546875,17.76,0.62,0.0,0.0,5.0
6,0,train_0051,12319.63671875,10614.7451171875,111.47451171875001,0.0,12431.11123046875,16.22,0.68,0.0,0.0,5.0
7,0,train_0418,12657.669921875,10915.041015625,141.5041015625,0.0,12799.1740234375,18.36,0.62,0.0,0.0,5.0
8,0,train_0120,12111.609375,10171.7470703125,67.17470703125001,0.0,12178.78408203125,16.56,0.68,0.0,0.0,5.0
9,0,train_0056,11939.6796875,10414.55078125,91.455078125,0.0,12031.134765625,17.88,0.48,0.0,0.0,5.0
10,0,train_0315,12888.26171875,10754.494140625,125.44941406250001,0.0,13013.7111328125,16.52,0.6,0.0,0.0,5.0
11,0,train_0585,12416.267578125,10462.0791015625,96.20791015625001,0.0,12512.47548828125,13.14,0.68,0.0,0.0,5.0
12,0,train_0441,12588.501953125,10401.98828125,90.198828125,0.0,12678.70078125,15.94,0.68,0.0,0.0,5.0
13,0,train_0456,12448.5673828125,10559.8359375,105.98359375000001,0.0,12554.5509765625,14.7,0.56,0.0,0.0,5.0
14,0,train_0430,12182.46484375,10397.33203125,89.733203125,0.0,12272.198046875,14.78,0.68,0.0,0.0,5.0
15,0,train_0471,12558.09375,10523.275390625,102.32753906250001,0.0,12660.4212890625,14.12,0.72,0.0,0.0,5.0
16,1,train_0307,12502.6328125,10309.873046875,80.9873046875,0.0,12583.6201171875,14.74,0.66,0.0,0.0,5.0
17,1,train_0076,12270.064453125,10298.478515625,79.84785156250001,0.0,12349.9123046875,14.9,0.62,0.0,0.0,5.0
18,1,train_0503,12785.390625,10816.681640625,131.6681640625,0.0,12917.0587890625,16.02,0.68,0.0,0.0,5.0
19,1,train_0270,12355.501953125,10605.904296875,110.5904296875,0.0,12466.0923828125,14.8,0.68,0.0,0.0,5.0
20,1,train_0300,12386.2490234375,10321.0126953125,82.10126953125001,0.0,12468.35029296875,16.6,0.6,0.0,0.0,5.0
21,1,train_0222,12529.0048828125,10378.982421875,87.8982421875,0.0,12616.903125,17.34,0.52,0.0,0.0,5.0
22,1,train_0109,12579.91015625,10511.2158203125,101.12158203125,0.0,12681.03173828125,16.08,0.68,0.0,0.0,5.0
23,1,train_0556,12616.146484375,10389.8115234375,88.98115234375001,0.0,12705.12763671875,13.82,0.58,0.0,0.0,5.0
24,1,train_0468,12080.609375,10391.6484375,89.16484375,0.0,12169.77421875,15.08,0.56,0.0,0.0,5.0
25,1,train_0386,12355.759765625,10419.24609375,91.924609375,0.0,12447.684375,14.64,0.64,0.0,0.0,5.0
