episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,carbon_lambda
0,0,train_0566,12281.591796875,10229.865234375,72.9865234375,0.0,12354.5783203125,14.64,0.72,0.0,0.0,5.0
1,0,train_0375,12360.888671875,10708.55859375,120.85585937500001,0.0,12481.74453125,15.14,0.78,0.0,0.0,5.0
2,0,train_0410,12887.1533203125,10491.0322265625,99.10322265625001,0.0,12986.25654296875,17.3,0.7,0.0,0.0,5.0
3,0,train_0538,12626.677734375,10591.474609375,109.1474609375,0.0,12735.8251953125,16.46,0.56,0.0,0.0,5.0
4,0,train_0346,12637.8515625,10884.4384765625,138.44384765625,0.0,12776.29541015625,16.8,0.62,0.0,0.0,5.0
5,0,train_0465,12897.7724609375,10547.8046875,104.78046875000001,0.0,13002.5529296875,16.62,0.62,0.0,0.0,5.0
6,0,train_0500,12304.466796875,10217.91015625,71.791015625,0.0,12376.2578125,15.72,0.5,0.0,0.0,5.0
7,0,train_0135,12682.783203125,10224.314453125,72.4314453125,0.0,12755.2146484375,17.08,0.66,0.0,0.0,5.0
8,0,train_0033,12908.556640625,10416.07421875,91.607421875,0.0,13000.1640625,14.32,0.68,0.0,0.0,5.0
9,0,train_0180,12719.5,10534.36328125,103.436328125,0.0,12822.936328125,17.52,0.66,0.0,0.0,5.0
10,0,train_0171,12919.3740234375,10744.29296875,124.429296875,0.0,13043.8033203125,17.24,0.68,0.0,0.0,5.0
11,0,train_0524,12172.9248046875,10168.89453125,66.889453125,0.0,12239.8142578125,15.5,0.64,0.0,0.0,5.0
12,0,train_0547,12843.56640625,10472.103515625,97.21035156250001,0.0,12940.7767578125,17.6,0.66,0.0,0.0,5.0
13,0,train_0003,12042.95703125,10303.2763671875,80.32763671875,0.0,12123.28466796875,16.64,0.58,0.0,0.0,5.0
14,0,train_0299,12172.3720703125,10517.2724609375,101.72724609375001,0.0,12274.09931640625,13.68,0.66,0.0,0.0,5.0
15,0,train_0492,12264.1337890625,10418.283203125,91.82832031250001,0.0,12355.962109375,16.82,0.72,0.0,0.0,5.0
16,1,train_0078,12382.484375,10157.5703125,65.75703125,0.0,12448.24140625,13.78,0.62,0.0,0.0,5.0
17,1,train_0478,12353.8046875,10446.51953125,94.651953125,0.0,12448.456640625,15.52,0.68,0.0,0.0,5.0
18,1,train_0071,12604.015625,10250.423828125,75.04238281250001,0.0,12679.0580078125,14.6,0.62,0.0,0.0,5.0
19,1,train_0280,12503.75,10425.693359375,92.5693359375,0.0,12596.3193359375,15.36,0.56,0.0,0.0,5.0
20,1,train_0489,12111.3134765625,10055.099609375,55.509960937500004,0.0,12166.8234375,17.52,0.64,0.0,0.0,5.0
21,1,train_0181,11583.4765625,9784.095703125,28.4095703125,0.0,11611.8861328125,16.7,0.72,0.0,0.0,5.0
22,1,train_0204,12449.3662109375,10720.8984375,122.08984375,0.0,12571.4560546875,16.84,0.62,0.0,0.0,5.0
23,1,train_0167,12184.99609375,10126.431640625,62.643164062500006,0.0,12247.6392578125,17.3,0.68,0.0,0.0,5.0
24,1,train_0431,12626.591796875,9997.044921875,49.7044921875,0.0,12676.2962890625,16.16,0.58,0.0,0.0,5.0
25,1,train_0152,12558.05078125,10443.86328125,94.386328125,0.0,12652.437109375,14.52,0.64,0.0,0.0,5.0
26,1,train_0594,12176.443359375,9993.619140625,49.361914062500006,0.0,12225.8052734375,17.18,0.7,0.0,0.0,5.0
27,1,train_0267,12106.630859375,10252.3359375,75.23359375,0.0,12181.864453125,16.36,0.66,0.0,0.0,5.0
28,1,train_0286,12637.640625,10665.1328125,116.51328125,0.0,12754.15390625,16.28,0.78,0.0,0.0,5.0
29,1,train_0302,12486.09375,10577.2978515625,107.72978515625,0.0,12593.82353515625,14.62,0.68,0.0,0.0,5.0
30,1,train_0349,12290.20703125,9944.033203125,44.4033203125,0.0,12334.6103515625,15.44,0.66,0.0,0.0,5.0
31,1,train_0332,12107.669921875,10179.28125,67.92812500000001,0.0,12175.598046875,16.84,0.6,0.0,0.0,5.0
32,2,train_0305,12339.912109375,10618.9228515625,111.89228515625001,0.0,12451.80439453125,16.32,0.64,0.0,0.0,5.0
33,2,train_0597,12401.5810546875,10396.7255859375,89.67255859375001,0.0,12491.25361328125,17.32,0.74,0.0,0.0,5.0
34,2,train_0484,12531.2509765625,10288.98046875,78.898046875,0.0,12610.1490234375,13.64,0.6,0.0,0.0,5.0
35,2,train_0475,12150.60546875,10232.09375,73.20937500000001,0.0,12223.81484375,14.62,0.66,0.0,0.0,5.0
36,2,train_0420,12266.404296875,10482.8232421875,98.28232421875,0.0,12364.68662109375,16.6,0.62,0.0,0.0,5.0
37,2,train_0373,12574.1962890625,10774.2431640625,127.42431640625,0.0,12701.62060546875,16.48,0.62,0.0,0.0,5.0
38,2,train_0204,12712.90625,10322.9443359375,82.29443359375,0.0,12795.20068359375,17.4,0.64,0.0,0.0,5.0
39,2,train_0593,12345.302734375,10215.083984375,71.5083984375,0.0,12416.8111328125,14.28,0.68,0.0,0.0,5.0
40,2,train_0279,12317.8974609375,10622.689453125,112.26894531250001,0.0,12430.16640625,16.42,0.64,0.0,0.0,5.0
41,2,train_0129,13192.279296875,10622.6748046875,112.26748046875001,0.0,13304.54677734375,15.16,0.58,0.0,0.0,5.0
42,2,train_0507,12171.544921875,10694.8974609375,119.48974609375,0.0,12291.03466796875,16.54,0.64,0.0,0.0,5.0
43,2,train_0096,12420.5283203125,10765.7919921875,126.57919921875,0.0,12547.10751953125,16.38,0.6,0.0,0.0,5.0
44,2,train_0514,12757.5087890625,9920.568359375,42.056835937500004,0.0,12799.565625,14.48,0.74,0.0,0.0,5.0
45,2,train_0367,12522.248046875,10250.509765625,75.0509765625,0.0,12597.2990234375,15.32,0.56,0.0,0.0,5.0
46,2,train_0068,12683.6923828125,10651.830078125,115.18300781250001,0.0,12798.875390625,15.3,0.7,0.0,0.0,5.0
47,2,train_0026,12076.755859375,10138.8828125,63.888281250000006,0.0,12140.644140625,16.36,0.72,0.0,0.0,5.0
48,3,train_0266,12671.64453125,10535.5888671875,103.55888671875,0.0,12775.20341796875,15.78,0.7,0.0,0.0,5.0
49,3,train_0021,12665.3359375,10276.89453125,77.689453125,0.0,12743.025390625,16.62,0.7,0.0,0.0,5.0
50,3,train_0084,12264.177734375,10066.5234375,56.65234375,0.0,12320.830078125,16.52,0.62,0.0,0.0,5.0
51,3,train_0308,12452.611328125,10118.203125,61.8203125,0.0,12514.431640625,16.88,0.62,0.0,0.0,5.0
52,3,train_0582,12756.046875,10373.474609375,87.3474609375,0.0,12843.3943359375,14.88,0.62,0.0,0.0,5.0
53,3,train_0279,12446.833984375,10440.09765625,94.009765625,0.0,12540.84375,17.54,0.6,0.0,0.0,5.0
54,3,train_0485,12090.255859375,9969.77734375,46.977734375000004,0.0,12137.23359375,16.14,0.76,0.0,0.0,5.0
55,3,train_0550,12323.341796875,10224.373046875,72.4373046875,0.0,12395.7791015625,17.86,0.56,0.0,0.0,5.0
56,3,train_0494,11947.4716796875,10426.9169921875,92.69169921875,0.0,12040.16337890625,16.34,0.58,0.0,0.0,5.0
57,3,train_0377,12349.748046875,10411.9052734375,91.19052734375,0.0,12440.93857421875,18.08,0.74,0.0,0.0,5.0
58,3,train_0264,12034.0322265625,10282.5126953125,78.25126953125,0.0,12112.28349609375,16.58,0.62,0.0,0.0,5.0
59,3,train_0308,12412.9873046875,10080.955078125,58.0955078125,0.0,12471.0828125,18.0,0.72,0.0,0.0,5.0
60,3,train_0159,12027.42578125,9863.615234375,36.361523437500004,0.0,12063.7873046875,18.5,0.66,0.0,0.0,5.0
61,3,train_0298,11782.283203125,9834.7431640625,33.474316406250004,0.0,11815.75751953125,15.94,0.56,0.0,0.0,5.0
62,3,train_0227,12688.896484375,10673.076171875,117.3076171875,0.0,12806.2041015625,16.74,0.64,0.0,0.0,5.0
63,3,train_0148,12296.03515625,10835.08984375,133.508984375,0.0,12429.544140625,19.3,0.64,0.0,0.0,5.0
64,3,train_0595,12144.69921875,9999.93359375,49.993359375000004,0.0,12194.692578125,16.62,0.68,0.0,0.0,5.0
65,3,train_0007,13578.525390625,10866.73046875,136.673046875,0.0,13715.1984375,15.7,0.64,0.0,0.0,5.0
66,3,train_0058,11837.8515625,10178.75,67.875,0.0,11905.7265625,15.94,0.56,0.0,0.0,5.0
67,3,train_0115,13045.744140625,9944.205078125,44.420507812500006,0.0,13090.1646484375,15.7,0.74,0.0,0.0,5.0
68,3,train_0581,12191.7578125,10496.603515625,99.66035156250001,0.0,12291.4181640625,16.62,0.68,0.0,0.0,5.0
69,3,train_0415,12732.716796875,10749.2724609375,124.92724609375,0.0,12857.64404296875,15.4,0.62,0.0,0.0,5.0
70,3,train_0529,12465.216796875,10414.2265625,91.42265625,0.0,12556.639453125,15.18,0.66,0.0,0.0,5.0
71,3,train_0120,12485.552734375,9829.7255859375,32.97255859375,0.0,12518.52529296875,18.04,0.54,0.0,0.0,5.0
72,3,train_0432,12390.09765625,10287.8564453125,78.78564453125,0.0,12468.88330078125,15.12,0.56,0.0,0.0,5.0
73,3,train_0221,12359.90234375,10272.90234375,77.29023437500001,0.0,12437.192578125,16.38,0.68,0.0,0.0,5.0
74,3,train_0293,12079.703125,9997.51171875,49.751171875000004,0.0,12129.454296875,14.02,0.7,0.0,0.0,5.0
75,3,train_0002,12770.67578125,9971.3583984375,47.135839843750006,0.0,12817.81162109375,12.78,0.62,0.0,0.0,5.0
76,3,train_0370,12609.3466796875,10559.02734375,105.90273437500001,0.0,12715.2494140625,14.72,0.6,0.0,0.0,5.0
77,3,train_0498,12418.431640625,10896.814453125,139.68144531250002,0.0,12558.1130859375,15.74,0.78,0.0,0.0,5.0
78,3,train_0398,12129.5,10179.130859375,67.9130859375,0.0,12197.4130859375,14.72,0.68,0.0,0.0,5.0
79,3,train_0092,12867.232421875,10481.625,98.16250000000001,0.0,12965.394921875,15.92,0.72,0.0,0.0,5.0
80,4,train_0320,12584.3349609375,10443.4140625,94.34140625,0.0,12678.6763671875,14.84,0.72,0.0,0.0,5.0
81,4,train_0160,12519.6865234375,10462.48046875,96.248046875,0.0,12615.9345703125,16.26,0.74,0.0,0.0,5.0
82,4,train_0578,12460.142578125,10177.81640625,67.78164062500001,0.0,12527.92421875,19.34,0.6,0.0,0.0,5.0
83,4,train_0528,12787.6640625,10061.2890625,56.12890625,0.0,12843.79296875,15.3,0.52,0.0,0.0,5.0
84,4,train_0111,12194.8203125,10104.3544921875,60.43544921875,0.0,12255.25576171875,15.06,0.72,0.0,0.0,5.0
85,4,train_0305,12475.421875,10287.79296875,78.779296875,0.0,12554.201171875,14.5,0.52,0.0,0.0,5.0
86,4,train_0563,12573.98046875,10208.5078125,70.85078125,0.0,12644.83125,15.3,0.62,0.0,0.0,5.0
87,4,train_0508,12824.2578125,10350.09765625,85.009765625,0.0,12909.267578125,13.72,0.56,0.0,0.0,5.0
88,4,train_0424,12649.9130859375,10453.474609375,95.3474609375,0.0,12745.260546875,19.4,0.66,0.0,0.0,5.0
89,4,train_0383,12241.111328125,10385.8408203125,88.58408203125,0.0,12329.69541015625,14.54,0.74,0.0,0.0,5.0
90,4,train_0025,12391.9375,10661.822265625,116.1822265625,0.0,12508.1197265625,15.82,0.6,0.0,0.0,5.0
91,4,train_0445,12663.376953125,10786.60546875,128.660546875,0.0,12792.0375,17.18,0.6,0.0,0.0,5.0
92,4,train_0284,12601.9580078125,10377.533203125,87.75332031250001,0.0,12689.711328125,16.06,0.66,0.0,0.0,5.0
93,4,train_0054,12228.720703125,10369.6142578125,86.96142578125,0.0,12315.68212890625,15.98,0.56,0.0,0.0,5.0
94,4,train_0146,12395.5712890625,10760.734375,126.07343750000001,0.0,12521.6447265625,16.54,0.48,0.0,0.0,5.0
95,4,train_0324,12784.86328125,10126.4501953125,62.64501953125,0.0,12847.50830078125,15.12,0.64,0.0,0.0,5.0
96,5,train_0436,12807.068359375,10265.142578125,76.5142578125,0.0,12883.5826171875,16.08,0.54,0.0,0.0,5.0
97,5,train_0304,12856.55078125,10469.7900390625,96.97900390625,0.0,12953.52978515625,16.76,0.54,0.0,0.0,5.0
98,5,train_0367,12794.625,9722.00390625,22.200390625,0.0,12816.825390625,15.56,0.46,0.0,0.0,5.0
99,5,train_0522,12939.01171875,10053.392578125,55.3392578125,0.0,12994.3509765625,15.74,0.54,0.0,0.0,5.0
100,5,train_0411,12940.255859375,10425.705078125,92.57050781250001,0.0,13032.8263671875,17.36,0.58,0.0,0.0,5.0
101,5,train_0216,12257.4326171875,10177.73046875,67.773046875,0.0,12325.2056640625,16.8,0.64,0.0,0.0,5.0
102,5,train_0385,12831.2578125,10629.04296875,112.904296875,0.0,12944.162109375,16.62,0.52,0.0,0.0,5.0
103,5,train_0358,12344.01171875,10513.2109375,101.32109375,0.0,12445.3328125,15.86,0.52,0.0,0.0,5.0
104,5,train_0064,12750.189453125,10501.4833984375,100.14833984375001,0.0,12850.33779296875,14.78,0.56,0.0,0.0,5.0
105,5,train_0035,13455.90625,10554.5556640625,105.45556640625,0.0,13561.36181640625,17.04,0.58,0.0,0.0,5.0
106,5,train_0396,12675.080078125,10274.69921875,77.46992187500001,0.0,12752.55,14.48,0.48,0.0,0.0,5.0
107,5,train_0232,12822.462890625,10230.216796875,73.0216796875,0.0,12895.4845703125,15.26,0.54,0.0,0.0,5.0
108,5,train_0358,12387.5439453125,10520.978515625,102.09785156250001,0.0,12489.641796875,16.3,0.48,0.0,0.0,5.0
109,5,train_0193,12673.17578125,10554.2431640625,105.42431640625,0.0,12778.60009765625,14.16,0.56,0.0,0.0,5.0
110,5,train_0135,13290.958984375,9668.5439453125,16.85439453125,0.0,13307.81337890625,17.32,0.64,0.0,0.0,5.0
111,5,train_0090,12519.45703125,10363.451171875,86.34511718750001,0.0,12605.8021484375,14.06,0.7,0.0,0.0,5.0
112,6,train_0228,12544.521484375,10034.490234375,53.4490234375,0.0,12597.9705078125,14.32,0.6,0.0,0.0,5.0
113,6,train_0489,12243.0517578125,9866.921875,36.6921875,0.0,12279.7439453125,17.48,0.6,0.0,0.0,5.0
114,6,train_0240,12755.25390625,10647.533203125,114.75332031250001,0.0,12870.0072265625,15.68,0.56,0.0,0.0,5.0
115,6,train_0227,12980.029296875,10246.712890625,74.67128906250001,0.0,13054.7005859375,17.26,0.5,0.0,0.0,5.0
116,6,train_0345,12347.517578125,10338.216796875,83.82167968750001,0.0,12431.3392578125,15.18,0.58,0.0,0.0,5.0
117,6,train_0587,12279.958984375,10245.2109375,74.52109375,0.0,12354.480078125,16.2,0.58,0.0,0.0,5.0
118,6,train_0235,12584.759765625,10266.3046875,76.63046875,0.0,12661.390234375,16.6,0.62,0.0,0.0,5.0
119,6,train_0353,12423.3662109375,10014.068359375,51.406835937500006,0.0,12474.773046875,16.2,0.68,0.0,0.0,5.0
120,6,train_0263,12330.98828125,9748.5751953125,24.857519531250002,0.0,12355.84580078125,15.7,0.36,0.0,0.0,5.0
121,6,train_0363,13092.126953125,9870.2470703125,37.02470703125,0.0,13129.15166015625,17.74,0.42,0.0,0.0,5.0
122,6,train_0267,12510.0830078125,9761.673828125,26.1673828125,0.0,12536.250390625,16.0,0.68,0.0,0.0,5.0
