episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs
36,0,train_0094,11951.986650949435,9912.706329386569,41.27063293865686,0.0,11993.257283888091,18.14,0.58,0.0,0.0,5.0
37,0,train_0166,12192.770483783195,10296.87301188532,79.687301188532,0.0,12272.457784971728,14.64,0.64,0.0,0.0,5.0
38,0,train_0087,12548.711739591716,10731.319079411722,123.13190794117219,0.0,12671.843647532887,15.6,0.62,0.0,0.0,5.0
39,0,train_0135,12409.085839197267,10484.849208089056,98.48492080890556,0.0,12507.570760006172,16.44,0.62,0.0,0.0,5.0
40,0,train_0512,12503.674275541915,10173.911061701132,67.3911061701132,0.0,12571.065381712027,15.66,0.6,0.0,0.0,5.0
41,0,train_0315,12855.858803321671,10466.706546666715,96.67065466667155,0.0,12952.529457988343,17.3,0.76,0.0,0.0,5.0
42,0,train_0054,12515.677725906895,10210.441982761724,71.0441982761724,0.0,12586.721924183068,16.54,0.68,0.0,0.0,5.0
43,0,train_0258,12609.327254271411,11033.513645335292,153.35136453352916,0.0,12762.678618804941,15.26,0.62,0.0,0.0,5.0
44,0,train_0162,11757.824536290784,9948.072096121408,44.80720961214084,0.0,11802.631745902925,16.62,0.6,0.0,0.0,5.0
45,0,train_0397,12072.348763247057,10496.33391359218,99.63339135921797,0.0,12171.982154606274,15.88,0.66,0.0,0.0,5.0
46,0,train_0498,12450.334174812546,10778.607517481283,127.86075174812832,0.0,12578.194926560675,16.08,0.66,0.0,0.0,5.0
47,0,train_0007,13240.379406333013,11367.76820408411,186.77682040841103,0.0,13427.156226741425,15.54,0.56,0.0,0.0,5.0
48,0,train_0279,12175.86672674672,10349.024794205401,84.90247942054012,0.0,12260.76920616726,17.58,0.68,0.0,0.0,5.0
49,0,train_0268,12316.615156628959,10737.397186883387,123.7397186883387,0.0,12440.354875317298,15.78,0.7,0.0,0.0,5.0
50,0,train_0594,12291.1901932178,9959.241992307396,45.92419923073958,0.0,12337.11439244854,18.02,0.68,0.0,0.0,5.0
51,0,train_0219,12540.387408839359,10504.193926264532,100.4193926264532,0.0,12640.806801465811,15.9,0.62,0.0,0.0,5.0
52,0,train_0099,11675.95552201006,10291.866840662055,79.18668406620546,0.0,11755.142206076265,18.74,0.62,0.0,0.0,5.0
53,0,train_0117,12178.2873035983,9905.69293587606,40.56929358760608,0.0,12218.856597185906,15.82,0.68,0.0,0.0,5.0
54,0,train_0286,12796.149022626949,10855.838020695497,135.5838020695497,0.0,12931.732824696499,15.6,0.64,0.0,0.0,5.0
55,0,train_0356,12793.623227361466,10218.08309593986,71.8083095939861,0.0,12865.431536955452,16.08,0.62,0.0,0.0,5.0
56,0,train_0195,12703.66593805734,10837.235418476444,133.72354184764444,0.0,12837.389479904985,19.22,0.62,0.0,0.0,5.0
57,0,train_0261,12336.606742947351,10574.481823751994,107.4481823751994,0.0,12444.05492532255,16.32,0.84,0.0,0.0,5.0
58,0,train_0397,11837.27315305468,10548.586124304029,104.8586124304029,0.0,11942.131765485083,15.02,0.68,0.0,0.0,5.0
59,0,train_0179,12346.546285071792,10353.250914908216,85.32509149082162,0.0,12431.871376562614,14.5,0.6,0.0,0.0,5.0
60,0,train_0578,12270.824209488572,10201.638629001509,70.16386290015089,0.0,12340.988072388722,19.48,0.58,0.0,0.0,5.0
61,0,train_0125,11758.96056814225,10361.067208639222,86.10672086392225,0.0,11845.067289006172,16.76,0.54,0.0,0.0,5.0
62,0,train_0561,12380.098874963314,10808.671458860683,130.8671458860683,0.0,12510.966020849382,14.8,0.6,0.0,0.0,5.0
63,0,train_0524,11942.681175502392,10305.568782913953,80.55687829139534,0.0,12023.238053793788,17.44,0.6,0.0,0.0,5.0
64,0,train_0574,12472.094986282726,10580.230245629358,108.02302456293583,0.0,12580.118010845661,14.04,0.72,0.0,0.0,5.0
65,0,train_0478,12460.823509739865,10316.970161982663,81.69701619826628,0.0,12542.520525938131,16.32,0.58,0.0,0.0,5.0
66,0,train_0317,12470.324014878077,10225.475354691347,72.54753546913471,0.0,12542.871550347212,14.06,0.6,0.0,0.0,5.0
67,0,train_0364,12580.498374327679,10416.531328304964,91.65313283049636,0.0,12672.151507158174,18.36,0.58,0.0,0.0,5.0
68,0,train_0124,12320.641766389661,10955.338458020422,145.5338458020422,0.0,12466.175612191702,17.4,0.74,0.0,0.0,5.0
69,0,train_0207,11658.616628761321,10269.921000500566,76.99210005005662,0.0,11735.608728811378,13.8,0.68,0.0,0.0,5.0
70,0,train_0277,12211.21389994381,10362.140360812095,86.21403608120946,0.0,12297.42793602502,15.46,0.68,0.0,0.0,5.0
71,0,train_0568,12788.65745965816,10879.654943893154,137.96549438931544,0.0,12926.622954047474,17.44,0.54,0.0,0.0,5.0
72,0,train_0476,12271.942994318739,10499.107600607482,99.91076006074819,0.0,12371.853754379486,18.52,0.64,0.0,0.0,5.0
73,0,train_0338,12298.063576610584,10606.119000530187,110.6119000530187,0.0,12408.675476663602,15.46,0.64,0.0,0.0,5.0
74,0,train_0357,12148.811409214773,10084.410267703515,58.44102677035153,0.0,12207.252435985125,15.68,0.72,0.0,0.0,5.0
75,0,train_0259,12460.925404264151,10722.489904942315,122.24899049423148,0.0,12583.174394758384,15.3,0.66,0.0,0.0,5.0
76,0,train_0251,12375.758943693934,10421.454499174559,92.14544991745589,0.0,12467.90439361139,13.9,0.66,0.0,0.0,5.0
77,0,train_0540,12429.36725052563,10561.108372409633,106.11083724096335,0.0,12535.478087766594,15.48,0.62,0.0,0.0,5.0
78,0,train_0002,12600.580509550913,10029.325999656201,52.932599965620106,0.0,12653.513109516532,13.84,0.66,0.0,0.0,5.0
