episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,carbon_lambda
0,0,train_0511,12365.04593062155,10195.480019012062,69.54800190120623,0.0,12434.593932522757,15.16,0.6,0.0,0.0,5.0,5.0
1,0,train_0107,12703.759868684472,10339.895418611824,83.98954186118245,0.0,12787.749410545655,16.4,0.64,0.0,0.0,5.0,5.0
2,0,train_0015,12399.216724677064,10258.554655134607,75.8554655134607,0.0,12475.072190190525,15.34,0.76,0.0,0.0,5.0,5.0
3,0,train_0383,12077.69405078299,10029.43253994608,52.94325399460795,0.0,12130.637304777598,16.52,0.78,0.0,0.0,5.0,5.0
4,0,train_0219,12338.517700810087,10533.134747462358,103.31347474623581,0.0,12441.831175556323,17.08,0.74,0.0,0.0,5.0,5.0
5,0,train_0280,12684.046617186612,10294.37113780842,79.43711378084208,0.0,12763.483730967455,16.54,0.68,0.0,0.0,5.0,5.0
6,0,train_0047,12354.693583549875,10080.941435813707,58.09414358137074,0.0,12412.787727131246,14.74,0.7,0.0,0.0,5.0,5.0
7,0,train_0222,12696.375286749151,10345.153284648291,84.51532846482915,0.0,12780.89061521398,17.58,0.62,0.0,0.0,5.0,5.0
8,0,train_0386,12440.544463570966,10433.551987631945,93.3551987631945,0.0,12533.89966233416,13.58,0.58,0.0,0.0,5.0,5.0
9,0,train_0212,12121.225732706696,10229.283121788241,72.92831217882413,0.0,12194.154044885521,15.02,0.6,0.0,0.0,5.0,5.0
10,0,train_0498,12466.452695224834,10575.140591447867,107.51405914478674,0.0,12573.966754369621,14.92,0.6,0.0,0.0,5.0,5.0
11,0,train_0474,12349.42917744215,10677.002647908961,117.70026479089611,0.0,12467.129442233047,15.44,0.58,0.0,0.0,5.0,5.0
12,0,train_0422,12619.138604279839,10565.797500619805,106.57975006198049,0.0,12725.71835434182,14.84,0.58,0.0,0.0,5.0,5.0
13,0,train_0543,12648.065670971962,10637.286972921767,113.72869729217673,0.0,12761.79436826414,16.2,0.5,0.0,0.0,5.0,5.0
14,0,train_0432,12404.242531748963,10225.431823892919,72.54318238929191,0.0,12476.785714138256,15.42,0.84,0.0,0.0,5.0,5.0
15,0,train_0106,12678.772972182654,10755.773899375326,125.57738993753264,0.0,12804.350362120187,18.04,0.54,0.0,0.0,5.0,5.0
16,0,train_0515,12199.853129112553,10426.713080317932,92.67130803179316,0.0,12292.524437144346,17.48,0.66,0.0,0.0,5.0,5.0
17,0,train_0391,12329.7082013665,10330.124641047267,83.01246410472669,0.0,12412.720665471226,15.36,0.72,0.0,0.0,5.0,5.0
18,0,train_0059,12456.28482752278,10680.020104718322,118.0020104718322,0.0,12574.286837994612,15.1,0.68,0.0,0.0,5.0,5.0
19,0,train_0178,12212.123667222848,10184.494026980181,68.44940269801809,0.0,12280.573069920865,15.74,0.62,0.0,0.0,5.0,5.0
20,0,train_0099,12177.777647186591,9957.966186132697,45.79661861326968,0.0,12223.57426579986,16.84,0.56,0.0,0.0,5.0,5.0
21,0,train_0580,12849.396202332495,10584.32805980145,108.43280598014499,0.0,12957.82900831264,16.1,0.66,0.0,0.0,5.0,5.0
22,0,train_0436,12426.505500844436,10579.918486982122,107.99184869821221,0.0,12534.497349542647,16.56,0.8,0.0,0.0,5.0,5.0
23,0,train_0551,12161.28492462965,10104.899965108092,60.48999651080922,0.0,12221.774921140459,14.98,0.66,0.0,0.0,5.0,5.0
24,0,train_0169,12115.01868725732,10136.771367410816,63.67713674108163,0.0,12178.695823998401,15.82,0.66,0.0,0.0,5.0,5.0
25,0,train_0381,12037.432963427571,10251.973389135044,75.19733891350442,0.0,12112.630302341075,15.52,0.64,0.0,0.0,5.0,5.0
26,0,train_0362,12133.931647963676,10235.009346223043,73.50093462230434,0.0,12207.432582585981,15.78,0.68,0.0,0.0,5.0,5.0
27,0,train_0451,12892.813980273646,10383.629311745652,88.36293117456518,0.0,12981.17691144821,17.26,0.74,0.0,0.0,5.0,5.0
28,0,train_0070,11780.366017165474,10008.165979181184,50.816597918118354,0.0,11831.182615083591,14.34,0.62,0.0,0.0,5.0,5.0
29,0,train_0309,12457.63926033099,10287.12493780207,78.71249378020694,0.0,12536.351754111198,14.38,0.72,0.0,0.0,5.0,5.0
30,0,train_0386,12475.504152521607,10202.24085381657,70.22408538165692,0.0,12545.728237903264,14.86,0.58,0.0,0.0,5.0,5.0
31,0,train_0495,12067.57788256459,10597.319360271387,109.73193602713873,0.0,12177.30981859173,19.12,0.84,0.0,0.0,5.0,5.0
32,0,train_0393,12195.160680697945,10608.190627609638,110.81906276096379,0.0,12305.979743458909,13.52,0.54,0.0,0.0,5.0,5.0
33,0,train_0269,11947.018484043723,9729.430185949017,22.943018594901698,0.0,11969.961502638625,14.72,0.58,0.0,0.0,5.0,5.0
34,0,train_0276,12086.314598332332,10330.819922444978,83.08199224449783,0.0,12169.39659057683,13.42,0.72,0.0,0.0,5.0,5.0
35,0,train_0203,12704.290561833339,10890.504728140768,139.05047281407678,0.0,12843.341034647416,14.34,0.6,0.0,0.0,5.0,5.0
36,0,train_0094,11951.986650949435,9912.706329386569,41.27063293865686,0.0,11993.257283888091,18.14,0.58,0.0,0.0,5.0,5.0
37,0,train_0166,12160.681661733937,10232.747063024275,73.27470630242752,0.0,12233.956368036364,15.08,0.68,0.0,0.0,5.0,5.0
38,0,train_0087,12548.711739591716,10731.319079411722,123.13190794117219,0.0,12671.843647532887,15.6,0.62,0.0,0.0,5.0,5.0
39,0,train_0135,12489.709829520707,10400.50051193537,90.050051193537,0.0,12579.759880714244,16.46,0.66,0.0,0.0,5.0,5.0
40,0,train_0512,12524.015655918047,10106.639836680255,60.66398366802551,0.0,12584.679639586073,15.6,0.62,0.0,0.0,5.0,5.0
41,0,train_0315,12855.858803321671,10466.706546666715,96.67065466667155,0.0,12952.529457988343,17.3,0.76,0.0,0.0,5.0,5.0
42,0,train_0054,12632.636032134407,10039.276554036162,53.92765540361616,0.0,12686.563687538024,17.3,0.72,0.0,0.0,5.0,5.0
43,0,train_0258,12687.109034388555,10918.42088395813,141.84208839581297,0.0,12828.951122784369,15.3,0.64,0.0,0.0,5.0,5.0
44,0,train_0162,11757.824536290784,9948.072096121408,44.80720961214084,0.0,11802.631745902925,16.62,0.6,0.0,0.0,5.0,5.0
45,0,train_0397,12196.393267155905,10452.915285259298,95.29152852592979,0.0,12291.684795681835,15.8,0.72,0.0,0.0,5.0,5.0
46,0,train_0498,12521.653961358683,10694.550794732579,119.45507947325787,0.0,12641.109040831941,16.06,0.64,0.0,0.0,5.0,5.0
47,0,train_0007,13386.41765474315,11270.786445856444,177.07864458564438,0.0,13563.496299328795,15.62,0.58,0.0,0.0,5.0,5.0
48,0,train_0279,12196.307442992205,10334.24214075827,83.42421407582697,0.0,12279.731657068032,17.58,0.7,0.0,0.0,5.0,5.0
49,0,train_0268,12465.843763572415,10557.649523390297,105.7649523390297,0.0,12571.608715911445,15.86,0.72,0.0,0.0,5.0,5.0
50,0,train_0594,12295.344617765555,9927.844592798408,42.78445927984085,0.0,12338.129077045396,17.76,0.68,0.0,0.0,5.0,5.0
51,0,train_0219,12605.73934902321,10432.484514602365,93.24845146023654,0.0,12698.987800483446,15.76,0.66,0.0,0.0,5.0,5.0
52,0,train_0099,11695.516734962805,10264.665264487936,76.4665264487936,0.0,11771.983261411599,18.78,0.64,0.0,0.0,5.0,5.0
53,0,train_0117,12247.012007944555,9785.889132387456,28.58891323874559,0.0,12275.6009211833,15.8,0.7,0.0,0.0,5.0,5.0
54,0,train_0286,12928.757003865125,10694.262741262337,119.4262741262337,0.0,13048.183277991358,15.74,0.7,0.0,0.0,5.0,5.0
55,0,train_0356,12760.692448461326,10247.928122414774,74.79281224147745,0.0,12835.485260702804,16.12,0.62,0.0,0.0,5.0,5.0
56,0,train_0195,12703.66593805734,10837.235418476444,133.72354184764444,0.0,12837.389479904985,19.22,0.62,0.0,0.0,5.0,5.0
57,0,train_0261,12336.606742947351,10574.481823751994,107.4481823751994,0.0,12444.05492532255,16.32,0.84,0.0,0.0,5.0,5.0
58,0,train_0397,11837.27315305468,10548.586124304029,104.8586124304029,0.0,11942.131765485083,15.02,0.68,0.0,0.0,5.0,5.0
59,0,train_0179,12367.73102041504,10283.753296883733,78.37532968837331,0.0,12446.106350103413,14.42,0.64,0.0,0.0,5.0,5.0
60,0,train_0578,12239.615205981021,10237.479310254052,73.74793102540517,0.0,12313.363137006427,19.82,0.6,0.0,0.0,5.0,5.0
61,0,train_0125,11867.734562747857,10288.448074333384,78.84480743333843,0.0,11946.579370181196,17.36,0.56,0.0,0.0,5.0,5.0
62,0,train_0561,12349.042862116026,10845.495177167395,134.5495177167395,0.0,12483.592379832766,15.42,0.6,0.0,0.0,5.0,5.0
63,0,train_0524,11911.52141519875,10183.449402481408,68.34494024814084,0.0,11979.86635544689,16.94,0.68,0.0,0.0,5.0,5.0
64,0,train_0574,12604.454070031996,10485.667600575918,98.56676005759182,0.0,12703.020830089588,14.08,0.72,0.0,0.0,5.0,5.0
65,0,train_0478,12468.119992058462,10317.245411999465,81.72454119994654,0.0,12549.844533258409,16.32,0.58,0.0,0.0,5.0,5.0
66,0,train_0317,12470.324014878077,10225.475354691347,72.54753546913471,0.0,12542.871550347212,14.06,0.6,0.0,0.0,5.0,5.0
67,0,train_0364,12742.380345514157,10299.908389582186,79.9908389582186,0.0,12822.371184472375,18.84,0.66,0.0,0.0,5.0,5.0
68,0,train_0124,12385.437847236051,10874.636099437103,137.46360994371025,0.0,12522.901457179762,17.4,0.74,0.0,0.0,5.0,5.0
69,0,train_0207,11868.827169839487,10091.497855545313,59.14978555453126,0.0,11927.976955394019,14.34,0.74,0.0,0.0,5.0,5.0
70,0,train_0277,12264.080592052303,10297.741776329993,79.77417763299928,0.0,12343.854769685302,15.5,0.7,0.0,0.0,5.0,5.0
71,0,train_0568,12766.10573517139,10903.757154119638,140.37571541196377,0.0,12906.481450583353,17.44,0.56,0.0,0.0,5.0,5.0
72,0,train_0476,12400.695508003953,10372.983691357458,87.29836913574582,0.0,12487.9938771397,18.72,0.7,0.0,0.0,5.0,5.0
73,0,train_0338,12306.522966250088,10623.058296054869,112.3058296054869,0.0,12418.828795855574,15.46,0.64,0.0,0.0,5.0,5.0
74,0,train_0357,12144.600773228818,10006.235936830784,50.62359368307844,0.0,12195.224366911896,15.66,0.76,0.0,0.0,5.0,5.0
75,0,train_0259,12527.97332691208,10655.744569411527,115.57445694115268,0.0,12643.547783853233,15.3,0.66,0.0,0.0,5.0,5.0
76,0,train_0251,12375.758943693934,10421.454499174559,92.14544991745589,0.0,12467.90439361139,13.9,0.66,0.0,0.0,5.0,5.0
77,0,train_0540,12579.870689456864,10430.100226071358,93.01002260713577,0.0,12672.880712064,15.56,0.68,0.0,0.0,5.0,5.0
78,0,train_0002,12620.780904029907,10049.269373850213,54.926937385021304,0.0,12675.70784141493,13.86,0.68,0.0,0.0,5.0,5.0
79,0,train_0191,12359.516174066928,10733.167398637428,123.31673986374281,0.0,12482.832913930672,15.16,0.66,0.0,0.0,5.0,5.0
80,0,train_0245,12413.21415640072,9989.655182195767,48.96551821957674,0.0,12462.179674620296,16.06,0.66,0.0,0.0,5.0,5.0
81,0,train_0417,12172.004522368432,10189.023074694658,68.90230746946581,0.0,12240.906829837897,15.32,0.66,0.0,0.0,5.0,5.0
82,0,train_0247,12374.28300933892,10676.818457794183,117.6818457794183,0.0,12491.964855118338,16.24,0.6,0.0,0.0,5.0,5.0
83,0,train_0188,12744.721350779419,10330.823390651949,83.0823390651949,0.0,12827.803689844613,15.62,0.58,0.0,0.0,5.0,5.0
84,0,train_0047,12336.763338212659,10065.513065285068,56.55130652850676,0.0,12393.314644741165,14.46,0.66,0.0,0.0,5.0,5.0
