episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,carbon_lambda
0,0,train_0009,12221.586252947465,10614.073104875795,111.40731048757954,0.0,12332.993563435044,16.38,0.68,0.0,0.0,5.0,0.6449628755448891
1,0,train_0409,12644.60823985094,10898.012736042241,139.80127360422412,0.0,12784.409513455164,18.82,0.68,0.0,0.0,5.0,0.6449628755448891
2,0,train_0355,12518.044784493954,10535.052769758138,103.50527697581384,0.0,12621.550061469767,14.66,0.54,0.0,0.0,5.0,0.6449628755448891
3,0,train_0032,12571.974083176547,10470.973928202695,97.09739282026949,0.0,12669.071475996816,16.6,0.68,0.0,0.0,5.0,0.6449628755448891
4,0,train_0545,12205.583158284477,10125.117562590149,62.511756259014874,0.0,12268.094914543492,17.22,0.64,0.0,0.0,5.0,0.6449628755448891
5,0,train_0132,12397.979024956385,10441.76256261267,94.17625626126701,0.0,12492.155281217652,17.42,0.46,0.0,0.0,5.0,0.6449628755448891
6,0,train_0153,12237.7762781171,10467.267073978583,96.72670739785826,0.0,12334.502985514959,16.6,0.64,0.0,0.0,5.0,0.6449628755448891
7,0,train_0110,12300.81338832276,10479.175730908115,97.9175730908115,0.0,12398.730961413572,17.92,0.78,0.0,0.0,5.0,0.6449628755448891
8,0,train_0200,12476.788558074433,10305.17566445115,80.51756644511498,0.0,12557.306124519548,16.7,0.88,0.0,0.0,5.0,0.6449628755448891
9,0,train_0105,12455.163638275939,10666.994625782938,116.69946257829379,0.0,12571.863100854232,14.5,0.68,0.0,0.0,5.0,0.6449628755448891
10,0,train_0208,12529.084153977987,10578.11250172121,107.81125017212108,0.0,12636.895404150107,15.14,0.66,0.0,0.0,5.0,0.6449628755448891
11,0,train_0487,12716.935651142467,10256.886214235994,75.6886214235994,0.0,12792.624272566067,15.98,0.54,0.0,0.0,5.0,0.6449628755448891
12,0,train_0270,12476.590309740575,10357.374351161778,85.73743511617778,0.0,12562.327744856753,15.54,0.6,0.0,0.0,5.0,0.6449628755448891
13,0,train_0554,12306.3183726025,10135.778395921818,63.577839592181775,0.0,12369.896212194682,13.26,0.64,0.0,0.0,5.0,0.6449628755448891
14,0,train_0269,12003.687085102905,9771.924039190675,27.192403919067512,0.0,12030.879489021972,15.68,0.62,0.0,0.0,5.0,0.5877296053239955
15,0,train_0165,12170.932581537923,10234.580951281363,73.4580951281363,0.0,12244.39067666606,16.94,0.66,0.0,0.0,5.0,0.6449628755448891
16,0,train_0473,12048.290755588516,10356.224719943526,85.62247199435261,0.0,12133.913227582869,17.16,0.82,0.0,0.0,5.0,0.6449628755448891
17,0,train_0491,12493.940147804082,10381.381646678394,88.13816466783938,0.0,12582.078312471922,15.54,0.6,0.0,0.0,5.0,0.6449628755448891
18,0,train_0517,12679.20506683371,10482.580064499944,98.25800644999435,0.0,12777.463073283705,17.18,0.72,0.0,0.0,5.0,0.6449628755448891
19,0,train_0533,11849.822412778434,10449.467225320832,94.94672253208319,0.0,11944.769135310518,15.46,0.58,0.0,0.0,5.0,0.6449628755448891
20,0,train_0015,12504.43690094051,10225.861135524097,72.58611355240974,0.0,12577.023014492921,14.64,0.82,0.0,0.0,5.0,0.6449628755448891
21,0,train_0307,12164.902953886953,10440.556914248693,94.0556914248693,0.0,12258.958645311823,16.9,0.54,0.0,0.0,5.0,0.6449628755448891
22,0,train_0160,12368.157472752147,10433.63318859838,93.363318859838,0.0,12461.520791611985,16.74,0.56,0.0,0.0,5.0,0.6449628755448891
23,0,train_0146,12294.81363614685,10784.856951626778,128.4856951626778,0.0,12423.299331309527,15.02,0.54,0.0,0.0,5.0,0.6449628755448891
24,0,train_0144,12897.347726542652,11320.829838645965,182.08298386459649,0.0,13079.430710407249,14.08,0.64,0.0,0.0,5.0,0.6449628755448891
25,0,train_0494,12461.994657487918,10161.737986368298,66.17379863682982,0.0,12528.168456124748,16.34,0.58,0.0,0.0,5.0,0.6449628755448891
26,0,train_0475,11949.72168558528,10277.429240650366,77.74292406503665,0.0,12027.464609650317,14.88,0.58,0.0,0.0,5.0,0.6449628755448891
27,0,train_0128,12183.244047249715,10138.357364576801,63.835736457680106,0.0,12247.079783707395,14.9,0.66,0.0,0.0,5.0,0.6449628755448891
28,0,train_0245,12272.032903241496,9966.253718945562,46.62537189455616,0.0,12318.658275136051,14.94,0.62,0.0,0.0,5.0,0.6449628755448891
29,0,train_0444,12549.453927851555,10375.404437576759,87.5404437576759,0.0,12636.994371609231,16.94,0.64,0.0,0.0,5.0,0.6449628755448891
30,0,train_0088,12160.213638949708,10788.939558289068,128.89395582890685,0.0,12289.107594778616,14.86,0.76,0.0,0.0,5.0,0.6449628755448891
31,0,train_0377,12221.010749884914,10383.728480966203,88.37284809662033,0.0,12309.383597981534,17.16,0.74,0.0,0.0,5.0,0.6449628755448891
32,0,train_0263,12245.765153946542,9889.985829412628,38.9985829412628,0.0,12284.763736887806,16.14,0.64,0.0,0.0,5.0,0.6449628755448891
33,0,train_0556,12546.546168982939,10567.815465805888,106.78154658058884,0.0,12653.327715563528,14.4,0.64,0.0,0.0,5.0,0.6449628755448891
34,0,train_0443,12262.63177378855,11054.836022916441,155.4836022916441,0.0,12418.115376080194,15.74,0.62,0.0,0.0,5.0,0.6449628755448891
35,0,train_0139,12228.249903647342,10362.46601867762,86.24660186776201,0.0,12314.496505515104,13.86,0.66,0.0,0.0,5.0,0.6449628755448891
36,0,train_0501,12519.827858940305,10542.487090924238,104.24870909242382,0.0,12624.07656803273,17.46,0.7,0.0,0.0,5.0,0.6449628755448891
37,0,train_0479,12764.1184010791,11020.216787519737,152.02167875197375,0.0,12916.140079831073,16.72,0.46,0.0,0.0,5.0,0.6449628755448891
38,0,train_0127,12800.052376235184,10517.688895842666,101.76888958426662,0.0,12901.82126581945,15.7,0.6,0.0,0.0,5.0,0.6449628755448891
39,0,train_0310,12095.918549163162,10118.734762792126,61.87347627921263,0.0,12157.792025442373,15.04,0.82,0.0,0.0,5.0,0.6449628755448891
40,0,train_0476,12582.969550184538,10606.297266685237,110.62972666852366,0.0,12693.599276853061,17.96,0.64,0.0,0.0,5.0,0.6449628755448891
41,0,train_0138,12063.073428188975,10470.076864350247,97.00768643502471,0.0,12160.081114624,16.62,0.6,0.0,0.0,5.0,0.6449628755448891
42,0,train_0146,12414.235370013928,10401.011168718931,90.10111687189311,0.0,12504.33648688582,16.04,0.72,0.0,0.0,5.0,0.6449628755448891
43,0,train_0099,11780.101045196923,10120.65803086881,62.06580308688099,0.0,11842.166848283805,17.68,0.54,0.0,0.0,5.0,0.6449628755448891
44,0,train_0004,12574.687980068862,10595.332590932405,109.53325909324049,0.0,12684.221239162103,18.68,0.6,0.0,0.0,5.0,0.6449628755448891
45,0,train_0298,11564.469885045686,10348.202793030161,84.82027930301611,0.0,11649.290164348702,16.42,0.68,0.0,0.0,5.0,0.6449628755448891
46,0,train_0009,12479.184318009411,10547.224680137642,104.72246801376423,0.0,12583.906786023175,15.42,0.62,0.0,0.0,5.0,0.6449628755448891
47,0,train_0349,11834.317645195559,10464.860117779714,96.48601177797137,0.0,11930.80365697353,16.22,0.64,0.0,0.0,5.0,0.6449628755448891
48,0,train_0249,12520.247514526023,10565.587649617082,106.55876496170822,0.0,12626.806279487731,16.06,0.62,0.0,0.0,5.0,0.6449628755448891
49,0,train_0110,12423.68920888973,10555.280951479017,105.5280951479017,0.0,12529.217304037631,16.92,0.7,0.0,0.0,5.0,0.6449628755448891
50,0,train_0217,12097.106580510817,10713.700932875,121.37009328749991,0.0,12218.476673798317,17.22,0.7,0.0,0.0,5.0,0.6449628755448891
51,0,train_0008,12530.970260667746,10376.690463974865,87.66904639748645,0.0,12618.639307065232,13.86,0.7,0.0,0.0,5.0,0.6449628755448891
52,0,train_0086,11948.43183376785,9952.962737866728,45.29627378667283,0.0,11993.728107554523,15.82,0.62,0.0,0.0,5.0,0.6449628755448891
53,0,train_0282,11925.914334452058,10456.700143680115,95.67001436801148,0.0,12021.58434882007,15.7,0.7,0.0,0.0,5.0,0.6449628755448891
54,0,train_0046,12141.88337059335,10061.550791566257,56.15507915662565,0.0,12198.038449749976,16.22,0.68,0.0,0.0,5.0,0.6449628755448891
55,0,train_0436,12435.539411799955,10739.229205968859,123.92292059688589,0.0,12559.46233239684,17.18,0.5,0.0,0.0,5.0,0.6449628755448891
56,0,train_0154,12767.825113471376,10635.261044981631,113.52610449816312,0.0,12881.351217969539,18.16,0.68,0.0,0.0,5.0,0.6449628755448891
57,0,train_0551,12037.675690424447,9953.11756790971,45.31175679097105,0.0,12082.987447215417,15.38,0.76,0.0,0.0,5.0,0.6449628755448891
58,0,train_0101,12455.713561229917,10515.685798362862,101.56857983628616,0.0,12557.282141066204,16.56,0.58,0.0,0.0,5.0,0.6449628755448891
59,0,train_0375,12269.04693909232,10818.398518778486,131.83985187784856,0.0,12400.88679097017,16.12,0.68,0.0,0.0,5.0,0.6449628755448891
60,0,train_0309,12471.651491396588,10706.400949560291,120.64009495602915,0.0,12592.291586352616,14.82,0.7,0.0,0.0,5.0,0.6449628755448891
61,0,train_0550,12145.156077855412,10317.706098188628,81.7706098188628,0.0,12226.926687674275,18.2,0.62,0.0,0.0,5.0,0.6449628755448891
62,0,train_0370,12391.810223666478,10833.561932445238,133.35619324452384,0.0,12525.166416911003,16.84,0.66,0.0,0.0,5.0,0.6449628755448891
63,0,train_0518,12445.581094642977,10369.49306941552,86.94930694155192,0.0,12532.530401584529,15.48,0.66,0.0,0.0,5.0,0.6449628755448891
64,0,train_0278,12389.011122668395,10572.565284716266,107.25652847162655,0.0,12496.26765114002,17.82,0.74,0.0,0.0,5.0,0.6449628755448891
65,0,train_0130,11965.53569028994,10628.026236256595,112.80262362565955,0.0,12078.3383139156,14.16,0.68,0.0,0.0,5.0,0.6449628755448891
66,0,train_0113,12053.498527763692,10181.096060373915,68.1096060373915,0.0,12121.608133801083,17.52,0.54,0.0,0.0,5.0,0.6449628755448891
67,0,train_0519,12754.855130464697,10562.716285454702,106.27162854547024,0.0,12861.126759010167,17.62,0.74,0.0,0.0,5.0,0.6449628755448891
68,0,train_0121,12323.856077007014,10276.890612611407,77.68906126114071,0.0,12401.545138268155,15.68,0.58,0.0,0.0,5.0,0.6449628755448891
69,0,train_0438,12088.165058383496,10535.780709653527,103.57807096535271,0.0,12191.743129348848,15.56,0.64,0.0,0.0,5.0,0.6449628755448891
70,0,train_0316,12488.468457390347,10231.473960197472,73.14739601974725,0.0,12561.615853410094,17.5,0.68,0.0,0.0,5.0,0.6449628755448891
71,0,train_0166,11929.808249415604,10408.460889798022,90.84608897980216,0.0,12020.654338395407,15.58,0.76,0.0,0.0,5.0,0.6449628755448891
72,0,train_0246,12488.4963406913,10360.96602576779,86.09660257677898,0.0,12574.592943268079,15.0,0.52,0.0,0.0,5.0,0.6449628755448891
73,0,train_0478,12388.322930869666,10663.614025102002,116.36140251020025,0.0,12504.684333379866,16.32,0.6,0.0,0.0,5.0,0.6449628755448891
74,0,train_0271,12045.145748517156,10359.812124275013,85.9812124275013,0.0,12131.126960944657,15.62,0.64,0.0,0.0,5.0,0.6449628755448891
75,0,train_0519,12698.319181072322,10890.762524214722,139.07625242147225,0.0,12837.395433493793,17.18,0.54,0.0,0.0,5.0,0.6449628755448891
76,0,train_0567,13256.701980959944,10938.616642292436,143.86166422924362,0.0,13400.563645189188,16.64,0.7,0.0,0.0,5.0,0.6449628755448891
77,0,train_0179,12004.876444583397,10530.134874803376,103.01348748033762,0.0,12107.889932063734,15.6,0.48,0.0,0.0,5.0,0.6449628755448891
78,0,train_0315,12961.538098923806,10541.891166313853,104.18911663138533,0.0,13065.727215555191,17.22,0.66,0.0,0.0,5.0,0.6449628755448891
79,0,train_0316,12423.99395633203,10214.029764323144,71.40297643231443,0.0,12495.396932764344,15.64,0.6,0.0,0.0,5.0,0.6449628755448891
80,0,train_0325,12298.640548404237,10513.08013569524,101.30801356952398,0.0,12399.94856197376,14.34,0.76,0.0,0.0,5.0,0.6449628755448891
81,0,train_0042,12542.995503227063,10425.761751003643,92.57617510036435,0.0,12635.571678327427,16.2,0.54,0.0,0.0,5.0,0.6449628755448891
82,0,train_0221,12386.81501244588,10424.446958735112,92.44469587351124,0.0,12479.259708319392,16.66,0.7,0.0,0.0,5.0,0.6449628755448891
83,0,train_0349,12262.259023704992,9984.271419811,48.42714198110007,0.0,12310.686165686091,15.7,0.5,0.0,0.0,5.0,0.6449628755448891
84,0,train_0550,12322.220112125231,10197.131405636017,69.7131405636017,0.0,12391.933252688832,18.7,0.58,0.0,0.0,5.0,0.6449628755448891
85,0,train_0142,13025.114613164267,10289.159644560583,78.91596445605829,0.0,13104.030577620326,17.34,0.62,0.0,0.0,5.0,0.6449628755448891
86,0,train_0386,12434.910144496675,10594.54424619985,109.454424619985,0.0,12544.36456911666,14.04,0.56,0.0,0.0,5.0,0.6449628755448891
87,0,train_0458,12650.216135309614,10606.208191991074,110.62081919910743,0.0,12760.836954508723,15.4,0.64,0.0,0.0,5.0,0.6449628755448891
88,0,train_0554,12151.220003780261,10362.076663290514,86.20766632905143,0.0,12237.427670109313,13.36,0.62,0.0,0.0,5.0,0.6449628755448891
89,0,train_0104,12606.663340780748,10301.661875490849,80.16618754908487,0.0,12686.829528329832,17.56,0.72,0.0,0.0,5.0,0.6449628755448891
90,0,train_0404,12989.941850060071,10723.777811716798,122.37778117167983,0.0,13112.31963123175,18.38,0.74,0.0,0.0,5.0,0.6449628755448891
91,0,train_0187,12081.699921809202,10555.430195238216,105.54301952382157,0.0,12187.242941333025,15.2,0.64,0.0,0.0,5.0,0.6449628755448891
92,0,train_0264,12191.27639132128,10377.55155857743,87.75515585774302,0.0,12279.031547179024,14.94,0.62,0.0,0.0,5.0,0.6449628755448891
93,0,train_0008,12396.791779159317,10694.207316373038,119.42073163730385,0.0,12516.21251079662,13.82,0.76,0.0,0.0,5.0,0.6449628755448891
94,0,train_0433,12197.944706909846,10107.83759538507,60.783759538507006,0.0,12258.728466448352,15.32,0.56,0.0,0.0,5.0,0.6449628755448891
95,0,train_0019,12507.210507754195,10683.588577512535,118.35885775125354,0.0,12625.569365505447,15.68,0.7,0.0,0.0,5.0,0.6449628755448891
96,0,train_0224,12576.30679181702,10520.761844392717,102.07618443927169,0.0,12678.382976256291,14.38,0.64,0.0,0.0,5.0,0.6449628755448891
97,0,train_0298,12130.3983778334,10035.644170238374,53.56441702383745,0.0,12183.962794857238,14.62,0.6,0.0,0.0,5.0,0.6449628755448891
98,0,train_0401,11910.320557149818,10153.607599712435,65.36075997124354,0.0,11975.681317121062,17.26,0.66,0.0,0.0,5.0,0.6449628755448891
99,0,train_0280,12643.695209841124,10365.183797511403,86.51837975114032,0.0,12730.213589592264,15.88,0.64,0.0,0.0,5.0,0.6449628755448891
100,0,train_0503,12916.933888990128,10604.430487623737,110.44304876237366,0.0,13027.376937752502,16.78,0.64,0.0,0.0,5.0,0.6449628755448891
101,0,train_0076,12511.756367761125,10315.022891922796,81.50228919227958,0.0,12593.258656953405,15.54,0.66,0.0,0.0,5.0,0.6449628755448891
102,0,train_0157,12377.022029800115,10400.22526478652,90.02252647865208,0.0,12467.044556278766,16.32,0.56,0.0,0.0,5.0,0.6449628755448891
103,0,train_0154,12585.019295901435,11105.993908299528,160.5993908299528,0.0,12745.618686731388,19.72,0.6,0.0,0.0,5.0,0.6449628755448891
104,0,train_0227,12528.458210449518,10839.884807823355,133.9884807823355,0.0,12662.446691231853,16.58,0.64,0.0,0.0,5.0,0.6449628755448891
105,0,train_0001,11999.643258376938,10447.54565478448,94.75456547844806,0.0,12094.397823855386,13.8,0.72,0.0,0.0,5.0,0.6449628755448891
106,0,train_0257,12419.866881038106,10777.635176586173,127.76351765861727,0.0,12547.630398696723,16.26,0.62,0.0,0.0,5.0,0.6449628755448891
107,0,train_0228,11971.221370907753,10699.632052507684,119.96320525076845,0.0,12091.184576158521,15.62,0.64,0.0,0.0,5.0,0.6449628755448891
108,0,train_0351,12559.18477194721,10667.904505700466,116.7904505700466,0.0,12675.975222517256,17.88,0.58,0.0,0.0,5.0,0.6449628755448891
109,0,train_0345,12186.410401494953,10685.72271393759,118.57227139375901,0.0,12304.982672888713,15.32,0.68,0.0,0.0,5.0,0.6449628755448891
110,0,train_0168,12738.690364626536,10454.955191128356,95.49551911283561,0.0,12834.185883739372,17.84,0.6,0.0,0.0,5.0,0.6449628755448891
111,0,train_0256,12186.41050848537,10662.098042606664,116.20980426066636,0.0,12302.620312746038,16.52,0.68,0.0,0.0,5.0,0.6449628755448891
112,0,train_0301,12632.915369984323,10716.516341776301,121.65163417763016,0.0,12754.567004161952,15.7,0.76,0.0,0.0,5.0,0.6449628755448891
113,0,train_0501,12518.169269160418,10759.730721916178,125.97307219161776,0.0,12644.142341352037,18.0,0.64,0.0,0.0,5.0,0.6449628755448891
114,0,train_0046,12178.671070076973,10036.344288967499,53.63442889674989,0.0,12232.305498973723,18.44,0.62,0.0,0.0,5.0,0.6449628755448891
115,0,train_0369,12160.345227914222,10482.424033391988,98.2424033391988,0.0,12258.58763125342,14.44,0.82,0.0,0.0,5.0,0.6449628755448891
116,0,train_0048,12515.411463990633,10242.500604311594,74.25006043115937,0.0,12589.661524421792,16.54,0.7,0.0,0.0,5.0,0.6449628755448891
117,0,train_0159,11662.249933313058,10385.855575955044,88.58555759550437,0.0,11750.835490908563,17.64,0.72,0.0,0.0,5.0,0.6449628755448891
118,0,train_0266,12508.58338190577,10362.79484518665,86.27948451866506,0.0,12594.862866424435,15.4,0.68,0.0,0.0,5.0,0.6449628755448891
119,0,train_0486,12482.31977674022,11057.945105869709,155.7945105869709,0.0,12638.114287327191,13.98,0.68,0.0,0.0,5.0,0.6449628755448891
120,0,train_0202,12560.997726688442,10896.35879407204,139.6358794072041,0.0,12700.633606095646,16.54,0.72,0.0,0.0,5.0,0.6449628755448891
121,0,train_0299,12355.074117639435,10336.035921232506,83.60359212325056,0.0,12438.677709762685,14.94,0.6,0.0,0.0,5.0,0.6449628755448891
122,0,train_0347,12277.891430258187,10451.126528089757,95.1126528089757,0.0,12373.004083067162,15.78,0.64,0.0,0.0,5.0,0.6449628755448891
123,0,train_0455,12773.79067796469,10800.89688703863,130.08968870386306,0.0,12903.880366668553,17.7,0.68,0.0,0.0,5.0,0.6449628755448891
124,0,train_0237,12029.150289600875,10367.158848213645,86.7158848213645,0.0,12115.866174422239,17.3,0.66,0.0,0.0,5.0,0.6449628755448891
125,0,train_0339,12599.55450995974,10584.964300684478,108.49643006844781,0.0,12708.050940028188,15.16,0.62,0.0,0.0,5.0,0.6449628755448891
126,0,train_0503,12997.058224832836,10570.407619600595,107.04076196005954,0.0,13104.098986792895,15.62,0.72,0.0,0.0,5.0,0.6449628755448891
127,0,train_0262,12773.136251126803,10595.811252657397,109.58112526573969,0.0,12882.717376392544,16.1,0.66,0.0,0.0,5.0,0.6449628755448891
128,0,train_0562,12379.460213651397,10372.321721380036,87.23217213800363,0.0,12466.6923857894,17.06,0.58,0.0,0.0,5.0,0.6449628755448891
129,0,train_0237,12164.311133397485,10789.4050155029,128.94050155029,0.0,12293.251634947776,16.7,0.54,0.0,0.0,5.0,0.6449628755448891
130,0,train_0259,12803.528782866157,10385.069278902054,88.50692789020542,0.0,12892.035710756361,14.16,0.68,0.0,0.0,5.0,0.6449628755448891
131,0,train_0013,12044.267970187993,10632.94494026486,113.29449402648606,0.0,12157.56246421448,14.6,0.66,0.0,0.0,5.0,0.6449628755448891
132,0,train_0319,12522.736487675678,10736.190752238392,123.61907522383918,0.0,12646.355562899518,15.02,0.66,0.0,0.0,5.0,0.6449628755448891
133,0,train_0281,12368.294991864084,10689.541603038586,118.9541603038586,0.0,12487.249152167942,16.66,0.7,0.0,0.0,5.0,0.6449628755448891
134,0,train_0249,12037.426093242157,10585.661604031928,108.56616040319278,0.0,12145.992253645349,15.44,0.56,0.0,0.0,5.0,0.6449628755448891
135,0,train_0374,12515.965485815515,10484.103881046922,98.41038810469217,0.0,12614.375873920208,16.64,0.7,0.0,0.0,5.0,0.6449628755448891
136,0,train_0328,12663.982845167095,10492.712012530104,99.27120125301045,0.0,12763.254046420105,16.22,0.58,0.0,0.0,5.0,0.6449628755448891
137,0,train_0567,13421.243447580331,10770.028996282086,127.00289962820862,0.0,13548.24634720854,15.86,0.62,0.0,0.0,5.0,0.6449628755448891
138,0,train_0243,12633.804176296188,10472.950657061154,97.2950657061154,0.0,12731.099242002303,17.22,0.62,0.0,0.0,5.0,0.6449628755448891
139,0,train_0261,12464.807000937224,10551.815660222519,105.1815660222519,0.0,12569.988566959477,17.16,0.66,0.0,0.0,5.0,0.6449628755448891
140,0,train_0487,12378.586697553586,10594.910289374024,109.49102893740238,0.0,12488.077726490988,14.9,0.68,0.0,0.0,5.0,0.6449628755448891
141,0,train_0291,12590.843156797087,10549.79087308226,104.97908730822601,0.0,12695.822244105313,14.38,0.7,0.0,0.0,5.0,0.6449628755448891
142,0,train_0150,12203.190840506282,10396.575424988936,89.6575424988936,0.0,12292.848383005175,19.12,0.78,0.0,0.0,5.0,0.6449628755448891
143,0,train_0311,12346.3858515971,10483.845081226362,98.38450812263619,0.0,12444.770359719736,15.64,0.76,0.0,0.0,5.0,0.6449628755448891
144,0,train_0304,13191.841161262411,10627.457763038141,112.7457763038141,0.0,13304.586937566226,17.3,0.68,0.0,0.0,5.0,0.6449628755448891
145,0,train_0245,12065.116487783303,10218.625502735249,71.8625502735249,0.0,12136.979038056828,14.16,0.7,0.0,0.0,5.0,0.6449628755448891
146,0,train_0318,12349.26573142837,10400.18362364903,90.01836236490308,0.0,12439.284093793272,18.04,0.66,0.0,0.0,5.0,0.6449628755448891
