episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,carbon_lambda
0,0,train_0566,12111.89419804575,10327.038237324628,82.70382373246285,0.0,12194.598021778213,14.74,0.62,0.0,0.0,7.0,1.215664014892263
1,0,train_0375,12585.627853042926,10487.380711723159,98.73807117231591,0.0,12684.365924215243,15.06,0.66,0.0,0.0,7.0,1.5887339609013997
2,0,train_0410,12778.60692762389,10714.922353039372,121.4922353039372,0.0,12900.099162927827,16.92,0.78,0.0,0.0,7.0,1.8968592631667593
3,0,train_0538,12938.260081694089,10515.769293205087,101.57692932050868,0.0,13039.837011014597,16.8,0.72,0.0,0.0,7.0,1.8968592631667593
4,0,train_0346,12893.205240079877,10607.860919442612,110.78609194426117,0.0,13003.991332024138,16.06,0.56,0.0,0.0,7.0,1.8968592631667593
5,0,train_0465,12654.478962400197,10749.605667262127,124.96056672621272,0.0,12779.43952912641,16.26,0.72,0.0,0.0,7.0,1.8968592631667593
6,0,train_0500,12209.37326265399,10292.896413197304,79.28964131973044,0.0,12288.66290397372,15.62,0.66,0.0,0.0,7.0,1.8968592631667593
7,0,train_0135,12348.393468250497,10657.867394794408,115.78673947944081,0.0,12464.180207729938,16.32,0.6,0.0,0.0,7.0,1.8968592631667593
8,0,train_0033,12420.377546631944,10619.17891569926,111.917891569926,0.0,12532.29543820187,14.54,0.7,0.0,0.0,7.0,1.8968592631667593
9,0,train_0180,12441.760120916333,10686.642635685557,118.66426356855573,0.0,12560.42438448489,17.16,0.68,0.0,0.0,7.0,1.8968592631667593
10,0,train_0171,12944.137742625466,10758.838737780276,125.88387377802756,0.0,13070.021616403494,16.34,0.72,0.0,0.0,7.0,1.8968592631667593
11,0,train_0524,11753.344141545196,10033.862389078387,53.386238907838745,0.0,11806.730380453035,15.32,0.58,0.0,0.0,7.0,1.8968592631667593
12,0,train_0547,12498.041578267112,10838.310883813001,133.8310883813001,0.0,12631.87266664841,15.16,0.64,0.0,0.0,7.0,1.8968592631667593
13,0,train_0003,12489.259836637639,10120.215878962903,62.0215878962903,0.0,12551.281424533929,17.44,0.72,0.0,0.0,7.0,1.8968592631667593
14,0,train_0299,12428.333418755032,10435.194135074747,93.51941350747475,0.0,12521.852832262506,15.94,0.68,0.0,0.0,7.0,1.8968592631667593
15,0,train_0492,12610.336293950966,10048.4554382793,54.845543827929944,0.0,12665.181837778897,16.18,0.66,0.0,0.0,7.0,1.8968592631667593
16,0,train_0078,12227.63766198755,10511.143353988562,101.11433539885621,0.0,12328.751997386405,14.04,0.66,0.0,0.0,7.0,1.8968592631667593
17,0,train_0478,12484.254632660635,10446.580500413678,94.65805004136783,0.0,12578.912682702003,17.0,0.54,0.0,0.0,7.0,1.8968592631667593
18,0,train_0071,12570.503152929887,10652.425927831424,115.2425927831424,0.0,12685.74574571303,14.88,0.58,0.0,0.0,7.0,1.8968592631667593
19,0,train_0280,12864.803799857144,10110.449408003798,61.04494080037985,0.0,12925.848740657524,16.66,0.74,0.0,0.0,7.0,1.8968592631667593
20,0,train_0489,11903.448924548893,10230.327949009727,73.03279490097266,0.0,11976.481719449866,16.7,0.7,0.0,0.0,7.0,1.8968592631667593
21,0,train_0181,11629.69503673,9831.78296380904,33.178296380904065,0.0,11662.873333110903,17.22,0.62,0.0,0.0,7.0,1.8968592631667593
22,0,train_0204,12782.081118705666,10818.23405808163,131.82340580816307,0.0,12913.90452451383,16.94,0.64,0.0,0.0,7.0,1.8968592631667593
23,0,train_0167,12378.689620247384,10212.128859368077,71.21288593680765,0.0,12449.902506184191,15.34,0.78,0.0,0.0,7.0,1.8968592631667593
24,0,train_0431,12412.36075352482,10400.526825979583,90.05268259795831,0.0,12502.413436122777,16.4,0.64,0.0,0.0,7.0,1.8968592631667593
25,0,train_0152,12334.76474370708,10510.325208348688,101.03252083486878,0.0,12435.797264541949,16.0,0.62,0.0,0.0,7.0,1.8968592631667593
26,0,train_0594,11905.538508294681,10374.608183834493,87.46081838344926,0.0,11992.999326678131,17.74,0.52,0.0,0.0,7.0,1.8968592631667593
27,0,train_0267,12386.921887417517,10562.180708917731,106.2180708917731,0.0,12493.13995830929,15.14,0.7,0.0,0.0,7.0,1.8968592631667593
28,0,train_0286,12450.095608296768,10673.974898076307,117.3974898076307,0.0,12567.493098104398,13.48,0.66,0.0,0.0,7.0,1.8968592631667593
29,0,train_0302,12681.152159007195,10485.273587576881,98.52735875768813,0.0,12779.679517764884,13.7,0.72,0.0,0.0,7.0,1.8968592631667593
30,0,train_0349,12257.796361321802,10150.477071253554,65.04770712535537,0.0,12322.844068447157,16.22,0.68,0.0,0.0,7.0,1.8968592631667593
31,0,train_0332,12206.751141871831,10063.57945694447,56.357945694446975,0.0,12263.109087566278,16.56,0.66,0.0,0.0,7.0,1.8968592631667593
32,0,train_0305,12803.36913116599,10129.59221860586,62.95922186058597,0.0,12866.328353026576,16.3,0.68,0.0,0.0,7.0,1.8968592631667593
33,0,train_0597,12488.231238731994,10170.680266541318,67.0680266541318,0.0,12555.299265386126,18.12,0.7,0.0,0.0,7.0,1.8968592631667593
34,0,train_0484,12472.075771336902,10547.51167948639,104.75116794863898,0.0,12576.826939285542,13.88,0.66,0.0,0.0,7.0,1.8968592631667593
35,0,train_0475,12328.655694781624,10266.567577171052,76.65675771710521,0.0,12405.312452498729,16.92,0.68,0.0,0.0,7.0,1.8968592631667593
36,0,train_0420,12279.291942771111,10335.371250016045,83.53712500160455,0.0,12362.829067772716,15.26,0.58,0.0,0.0,7.0,1.8968592631667593
37,0,train_0373,12437.869754385536,10699.736699687486,119.97366996874862,0.0,12557.843424354285,15.78,0.68,0.0,0.0,7.0,1.8968592631667593
38,0,train_0204,12725.04716191291,10559.960843019817,105.99608430198168,0.0,12831.043246214891,17.44,0.68,0.0,0.0,7.0,1.8968592631667593
39,0,train_0593,12490.63682697709,10302.599366399081,80.25993663990812,0.0,12570.896763616998,14.28,0.7,0.0,0.0,7.0,1.8968592631667593
40,0,train_0279,12418.839796421125,10212.143654764886,71.21436547648864,0.0,12490.054161897613,18.08,0.78,0.0,0.0,7.0,1.8968592631667593
41,0,train_0129,13005.536683507802,10436.023459492793,93.60234594927934,0.0,13099.139029457081,14.46,0.72,0.0,0.0,7.0,1.8968592631667593
42,0,train_0507,12739.95454290205,10229.453249522703,72.94532495227031,0.0,12812.899867854321,17.8,0.74,0.0,0.0,7.0,1.8968592631667593
43,0,train_0096,12755.132507132139,10392.938758330933,89.29387583309327,0.0,12844.426382965232,17.62,0.88,0.0,0.0,7.0,1.8968592631667593
44,0,train_0514,12451.676388472955,10235.721637383846,73.57216373838456,0.0,12525.24855221134,16.32,0.7,0.0,0.0,7.0,1.8968592631667593
45,0,train_0367,12420.41164129633,10392.876945993019,89.28769459930191,0.0,12509.699335895632,15.16,0.78,0.0,0.0,7.0,1.8968592631667593
46,0,train_0068,12682.009116264499,10648.927501894383,114.89275018943827,0.0,12796.901866453936,14.32,0.66,0.0,0.0,7.0,1.8968592631667593
47,0,train_0026,12182.238539991988,10305.045683536457,80.50456835364567,0.0,12262.743108345634,15.58,0.66,0.0,0.0,7.0,1.8968592631667593
48,0,train_0266,12558.120845612177,10586.909623864594,108.69096238645943,0.0,12666.811807998636,14.58,0.62,0.0,0.0,7.0,1.8968592631667593
49,0,train_0021,12362.398814692631,10650.551377614154,115.05513776141544,0.0,12477.453952454047,16.66,0.68,0.0,0.0,7.0,1.8968592631667593
50,0,train_0084,12010.790565394314,10397.269407504697,89.72694075046967,0.0,12100.517506144784,16.32,0.7,0.0,0.0,7.0,1.8968592631667593
51,0,train_0308,12336.097594226238,9879.849703371778,37.984970337177764,0.0,12374.082564563416,18.26,0.84,0.0,0.0,7.0,1.8968592631667593
52,0,train_0582,12514.076711759637,10655.942245593169,115.5942245593169,0.0,12629.670936318955,15.4,0.7,0.0,0.0,7.0,1.8968592631667593
53,0,train_0279,12163.658987912684,10574.112377843234,107.41123778432339,0.0,12271.070225697007,17.4,0.68,0.0,0.0,7.0,1.8968592631667593
54,0,train_0485,12136.154361536845,9924.444985757029,42.444498575702895,0.0,12178.598860112548,17.88,0.74,0.0,0.0,7.0,1.8968592631667593
55,0,train_0550,12202.524816888234,10360.524796876558,86.0524796876558,0.0,12288.57729657589,16.9,0.68,0.0,0.0,7.0,1.8968592631667593
56,0,train_0494,12162.579597845146,10387.944719524286,88.79447195242865,0.0,12251.374069797575,16.84,0.78,0.0,0.0,7.0,1.8968592631667593
57,0,train_0377,12342.453641055736,10156.761759913305,65.67617599133045,0.0,12408.129817047065,17.6,0.66,0.0,0.0,7.0,1.8968592631667593
58,0,train_0264,12209.407590211114,9980.514657019185,48.05146570191846,0.0,12257.459055913034,14.22,0.72,0.0,0.0,7.0,1.8968592631667593
59,0,train_0308,11900.124418781836,10438.06328491469,93.80632849146896,0.0,11993.930747273305,16.7,0.62,0.0,0.0,7.0,1.8968592631667593
60,0,train_0159,12013.866303898012,10213.348440480691,71.33484404806914,0.0,12085.201147946082,18.38,0.7,0.0,0.0,7.0,1.8968592631667593
61,0,train_0298,11839.119704522003,9975.334063427259,47.533406342725904,0.0,11886.653110864729,16.38,0.7,0.0,0.0,7.0,1.8968592631667593
62,0,train_0227,12711.470158275726,10457.83929896513,95.78392989651293,0.0,12807.25408817224,16.4,0.58,0.0,0.0,7.0,1.8968592631667593
63,0,train_0148,12548.047206484847,10642.084238393722,114.20842383937216,0.0,12662.25563032422,17.18,0.7,0.0,0.0,7.0,1.8968592631667593
64,0,train_0595,12148.72615476475,9943.109987561054,44.31099875610544,0.0,12193.037153520856,16.92,0.74,0.0,0.0,7.0,1.8968592631667593
65,0,train_0007,13109.85926795263,11035.461756914512,153.54617569145123,0.0,13263.405443644082,13.52,0.6,0.0,0.0,7.0,1.8968592631667593
66,0,train_0058,11932.859089707728,9842.320833158388,34.23208331583883,0.0,11967.091173023568,15.52,0.66,0.0,0.0,7.0,1.8968592631667593
67,0,train_0115,12757.134437636341,10750.116289280655,125.01162892806552,0.0,12882.146066564406,14.92,0.74,0.0,0.0,7.0,1.8968592631667593
68,0,train_0581,12349.279981955071,10333.827506728465,83.3827506728465,0.0,12432.662732627918,15.3,0.66,0.0,0.0,7.0,1.8968592631667593
69,0,train_0415,12854.005351410378,10582.197963722872,108.21979637228725,0.0,12962.225147782665,13.62,0.56,0.0,0.0,7.0,1.8968592631667593
70,0,train_0529,12629.612161813606,10315.864936132406,81.5864936132406,0.0,12711.198655426846,15.64,0.74,0.0,0.0,7.0,1.8968592631667593
71,0,train_0120,12428.806081878181,10088.989795029272,58.898979502927254,0.0,12487.705061381108,16.26,0.56,0.0,0.0,7.0,1.8968592631667593
72,0,train_0432,12439.24935710676,10416.268858846113,91.62688588461134,0.0,12530.876242991371,15.98,0.7,0.0,0.0,7.0,1.8968592631667593
73,0,train_0221,12357.852187178834,10640.899032891855,114.08990328918554,0.0,12471.94209046802,15.84,0.6,0.0,0.0,7.0,1.8968592631667593
