episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
0,0,train_0053,12318.958984375,10766.171875,126.6171875,0.0,12445.576171875,15.7,0.76,0.0,0.0
1,0,train_0464,12511.4169921875,10375.814453125,87.58144531250001,0.0,12598.9984375,16.52,0.56,0.0,0.0
2,0,train_0392,12468.6630859375,10601.48828125,110.14882812500001,0.0,12578.8119140625,17.04,0.72,0.0,0.0
3,0,train_0263,12185.23828125,9993.958984375,49.3958984375,0.0,12234.6341796875,15.94,0.68,0.0,0.0
4,0,train_0259,12620.40625,10602.359375,110.2359375,0.0,12730.6421875,14.74,0.66,0.0,0.0
5,0,train_0515,12567.251953125,10067.869140625,56.7869140625,0.0,12624.0388671875,17.8,0.6,0.0,0.0
6,0,train_0051,12458.642578125,10520.484375,102.0484375,0.0,12560.691015625,16.24,0.66,0.0,0.0
7,0,train_0418,12690.494140625,10887.5732421875,138.75732421875,0.0,12829.25146484375,18.48,0.66,0.0,0.0
8,0,train_0120,12123.63671875,10174.6083984375,67.46083984375001,0.0,12191.09755859375,16.54,0.7,0.0,0.0
9,0,train_0056,11968.2578125,10318.0400390625,81.80400390625,0.0,12050.06181640625,17.92,0.52,0.0,0.0
10,0,train_0315,12919.3388671875,10601.6201171875,110.16201171875001,0.0,13029.50087890625,16.62,0.64,0.0,0.0
11,0,train_0585,12526.384765625,10384.6923828125,88.46923828125,0.0,12614.85400390625,13.16,0.66,0.0,0.0
12,0,train_0441,12701.626953125,10334.185546875,83.4185546875,0.0,12785.0455078125,15.94,0.68,0.0,0.0
13,0,train_0456,12448.14453125,10555.7900390625,105.57900390625001,0.0,12553.72353515625,14.72,0.58,0.0,0.0
14,0,train_0430,12210.201171875,10366.228515625,86.6228515625,0.0,12296.8240234375,14.42,0.7,0.0,0.0
15,0,train_0471,12558.09375,10523.275390625,102.32753906250001,0.0,12660.4212890625,14.12,0.72,0.0,0.0
16,1,train_0307,12610.16015625,10270.4697265625,77.04697265625,0.0,12687.20712890625,15.8,0.72,0.0,0.0
17,1,train_0076,12372.232421875,10189.7939453125,68.97939453125001,0.0,12441.21181640625,15.16,0.62,0.0,0.0
18,1,train_0503,12923.3154296875,10684.708984375,118.47089843750001,0.0,13041.786328125,16.48,0.62,0.0,0.0
19,1,train_0270,12355.501953125,10605.904296875,110.5904296875,0.0,12466.0923828125,14.8,0.68,0.0,0.0
20,1,train_0300,12373.23828125,10292.69921875,79.26992187500001,0.0,12452.508203125,16.68,0.62,0.0,0.0
21,1,train_0222,12443.169921875,10348.5703125,84.85703125,0.0,12528.026953125,16.92,0.54,0.0,0.0
22,1,train_0109,12512.810546875,10517.876953125,101.7876953125,0.0,12614.5982421875,15.86,0.72,0.0,0.0
23,1,train_0556,12616.146484375,10389.8115234375,88.98115234375001,0.0,12705.12763671875,13.82,0.58,0.0,0.0
24,1,train_0468,12080.609375,10391.6484375,89.16484375,0.0,12169.77421875,15.08,0.56,0.0,0.0
25,1,train_0386,12442.896484375,10331.5888671875,83.15888671875001,0.0,12526.05537109375,14.78,0.7,0.0,0.0
26,1,train_0241,12086.134765625,10270.01171875,77.00117187500001,0.0,12163.1359375,15.96,0.64,0.0,0.0
27,1,train_0493,12060.033203125,10229.4765625,72.94765625000001,0.0,12132.980859375,15.14,0.68,0.0,0.0
28,1,train_0327,12708.439453125,10613.076171875,111.3076171875,0.0,12819.7470703125,16.42,0.7,0.0,0.0
29,1,train_0266,12775.212890625,10217.3681640625,71.73681640625,0.0,12846.94970703125,15.68,0.8,0.0,0.0
30,1,train_0270,12226.916015625,10302.4287109375,80.24287109375001,0.0,12307.15888671875,15.74,0.7,0.0,0.0
31,1,train_0136,12300.271484375,10306.197265625,80.6197265625,0.0,12380.8912109375,17.58,0.72,0.0,0.0
32,2,train_0055,12605.2578125,10192.9326171875,69.29326171875,0.0,12674.55107421875,13.9,0.66,0.0,0.0
33,2,train_0332,12113.951171875,10272.9296875,77.29296875,0.0,12191.244140625,16.44,0.72,0.0,0.0
34,2,train_0532,12261.708984375,10375.091796875,87.50917968750001,0.0,12349.2181640625,15.26,0.64,0.0,0.0
35,2,train_0038,12482.3623046875,10405.6357421875,90.56357421875,0.0,12572.92587890625,16.0,0.78,0.0,0.0
36,2,train_0514,11963.49609375,10665.958984375,116.59589843750001,0.0,12080.0919921875,14.18,0.66,0.0,0.0
37,2,train_0496,12461.568359375,10123.126953125,62.312695312500004,0.0,12523.8810546875,17.68,0.6,0.0,0.0
38,2,train_0166,12025.8037109375,10386.48828125,88.64882812500001,0.0,12114.4525390625,14.88,0.72,0.0,0.0
39,2,train_0378,12314.1103515625,10515.01953125,101.501953125,0.0,12415.6123046875,16.68,0.78,0.0,0.0
40,2,train_0099,12144.46875,10059.4599609375,55.945996093750004,0.0,12200.41474609375,16.42,0.52,0.0,0.0
41,2,train_0454,13037.166015625,10906.662109375,140.6662109375,0.0,13177.8322265625,16.3,0.68,0.0,0.0
42,2,train_0420,12045.20703125,10650.09765625,115.009765625,0.0,12160.216796875,15.16,0.72,0.0,0.0
43,2,train_0212,12157.9521484375,10259.935546875,75.99355468750001,0.0,12233.945703125,16.4,0.66,0.0,0.0
44,2,train_0040,12531.2578125,10857.69921875,135.769921875,0.0,12667.027734375,16.36,0.74,0.0,0.0
45,2,train_0582,12620.7001953125,10451.572265625,95.1572265625,0.0,12715.857421875,16.22,0.76,0.0,0.0
46,2,train_0267,12116.595703125,10536.888671875,103.68886718750001,0.0,12220.2845703125,16.68,0.64,0.0,0.0
47,2,train_0535,12292.095703125,10409.009765625,90.9009765625,0.0,12382.9966796875,13.82,0.66,0.0,0.0
48,3,train_0406,12342.2041015625,10847.998046875,134.7998046875,0.0,12477.00390625,17.12,0.74,0.0,0.0
49,3,train_0467,12885.9794921875,10821.79296875,132.179296875,0.0,13018.1587890625,14.66,0.64,0.0,0.0
50,3,train_0455,12546.8828125,10962.7451171875,146.27451171875,0.0,12693.15732421875,17.24,0.7,0.0,0.0
51,3,train_0116,12375.76953125,10383.5576171875,88.35576171875,0.0,12464.12529296875,17.86,0.62,0.0,0.0
52,3,train_0218,12173.21484375,10964.2802734375,146.42802734375002,0.0,12319.64287109375,16.62,0.62,0.0,0.0
53,3,train_0280,12794.689453125,10223.49609375,72.349609375,0.0,12867.0390625,15.92,0.76,0.0,0.0
54,3,train_0298,11711.44140625,10193.580078125,69.3580078125,0.0,11780.7994140625,13.54,0.6,0.0,0.0
55,3,train_0026,11736.20703125,10376.5537109375,87.65537109375,0.0,11823.86240234375,16.04,0.6,0.0,0.0
56,3,train_0327,12527.91015625,10559.8251953125,105.98251953125,0.0,12633.89267578125,16.22,0.62,0.0,0.0
57,3,train_0092,12612.4814453125,10493.771484375,99.37714843750001,0.0,12711.85859375,17.08,0.68,0.0,0.0
58,3,train_0446,11965.3359375,10432.53515625,93.253515625,0.0,12058.589453125,15.78,0.58,0.0,0.0
59,3,train_0409,12767.0634765625,10813.41015625,131.341015625,0.0,12898.4044921875,18.62,0.7,0.0,0.0
60,3,train_0553,11582.5322265625,10211.38671875,71.138671875,0.0,11653.6708984375,16.98,0.78,0.0,0.0
61,3,train_0446,11928.1640625,10521.72265625,102.17226562500001,0.0,12030.336328125,14.96,0.76,0.0,0.0
62,3,train_0219,12657.119140625,10264.107421875,76.4107421875,0.0,12733.5298828125,16.68,0.68,0.0,0.0
63,3,train_0580,13051.1640625,10912.615234375,141.26152343750002,0.0,13192.4255859375,16.24,0.54,0.0,0.0
64,3,train_0246,11865.93359375,10790.603515625,129.06035156250002,0.0,11994.9939453125,16.52,0.72,0.0,0.0
65,3,train_0195,12796.59375,10845.7568359375,134.57568359375,0.0,12931.16943359375,18.66,0.68,0.0,0.0
66,3,train_0543,12164.3935546875,10832.32421875,133.232421875,0.0,12297.6259765625,16.2,0.66,0.0,0.0
67,3,train_0222,12282.130859375,10675.1357421875,117.51357421875001,0.0,12399.64443359375,17.64,0.68,0.0,0.0
68,3,train_0045,12132.2890625,10827.5478515625,132.75478515625,0.0,12265.04384765625,13.3,0.74,0.0,0.0
69,3,train_0281,12588.107421875,10848.12890625,134.812890625,0.0,12722.9203125,16.12,0.74,0.0,0.0
70,3,train_0477,11887.84375,10284.30859375,78.43085937500001,0.0,11966.274609375,14.22,0.72,0.0,0.0
71,3,train_0113,12131.732421875,10457.220703125,95.72207031250001,0.0,12227.4544921875,17.74,0.76,0.0,0.0
72,3,train_0277,12337.513671875,10430.712890625,93.0712890625,0.0,12430.5849609375,16.5,0.64,0.0,0.0
73,3,train_0077,12254.658203125,10189.6650390625,68.96650390625,0.0,12323.62470703125,15.86,0.74,0.0,0.0
74,3,train_0411,12897.12890625,10988.734375,148.8734375,0.0,13046.00234375,15.46,0.66,0.0,0.0
75,3,train_0285,12163.056640625,10717.45703125,121.745703125,0.0,12284.80234375,16.22,0.62,0.0,0.0
76,3,train_0198,11570.9677734375,10370.470703125,87.04707031250001,0.0,11658.01484375,17.64,0.82,0.0,0.0
77,3,train_0136,12158.470703125,10651.7451171875,115.17451171875001,0.0,12273.64521484375,17.62,0.64,0.0,0.0
78,3,train_0338,12388.298828125,10341.6416015625,84.16416015625,0.0,12472.46298828125,16.08,0.66,0.0,0.0
79,3,train_0401,11713.494140625,10432.736328125,93.27363281250001,0.0,11806.7677734375,16.6,0.68,0.0,0.0
80,4,train_0564,12316.1044921875,10603.0224609375,110.30224609375,0.0,12426.40673828125,15.08,0.78,0.0,0.0
81,4,train_0262,12254.6376953125,10721.283203125,122.12832031250001,0.0,12376.766015625,16.54,0.74,0.0,0.0
82,4,train_0096,12386.47265625,10721.6279296875,122.16279296875001,0.0,12508.63544921875,17.34,0.76,0.0,0.0
83,4,train_0499,11947.98828125,10319.13671875,81.913671875,0.0,12029.901953125,17.5,0.72,0.0,0.0
84,4,train_0377,12007.4619140625,10742.626953125,124.2626953125,0.0,12131.724609375,17.88,0.76,0.0,0.0
85,4,train_0420,12225.2109375,10865.3212890625,136.53212890625,0.0,12361.74306640625,14.62,0.8,0.0,0.0
86,4,train_0058,12077.1220703125,9993.310546875,49.3310546875,0.0,12126.453125,14.54,0.72,0.0,0.0
87,4,train_0187,11974.576171875,10804.521484375,130.4521484375,0.0,12105.0283203125,14.66,0.64,0.0,0.0
88,4,train_0460,12048.49609375,10721.8828125,122.18828125,0.0,12170.684375,13.42,0.7,0.0,0.0
89,4,train_0499,11985.791015625,10344.2744140625,84.42744140625001,0.0,12070.21845703125,17.84,0.68,0.0,0.0
90,4,train_0261,12049.939453125,10998.46875,149.846875,0.0,12199.786328125,15.6,0.62,0.0,0.0
91,4,train_0482,11942.99609375,10344.595703125,84.4595703125,0.0,12027.4556640625,14.2,0.74,0.0,0.0
92,4,train_0505,12353.6767578125,10570.3388671875,107.03388671875001,0.0,12460.71064453125,17.2,0.64,0.0,0.0
93,4,train_0232,12079.0244140625,10805.9482421875,130.59482421875,0.0,12209.61923828125,17.52,0.54,0.0,0.0
94,4,train_0538,12502.388671875,10927.82421875,142.782421875,0.0,12645.17109375,15.6,0.66,0.0,0.0
95,4,train_0172,12517.03125,10530.6640625,103.06640625,0.0,12620.09765625,17.06,0.64,0.0,0.0
96,5,train_0143,12634.7412109375,10677.0146484375,117.70146484375,0.0,12752.44267578125,15.9,0.66,0.0,0.0
97,5,train_0409,12621.4326171875,11230.7841796875,173.07841796875002,0.0,12794.51103515625,19.92,0.76,0.0,0.0
98,5,train_0382,12577.7626953125,10746.408203125,124.64082031250001,0.0,12702.403515625,15.5,0.66,0.0,0.0
99,5,train_0083,12197.75,10447.869140625,94.7869140625,0.0,12292.5369140625,16.38,0.74,0.0,0.0
100,5,train_0499,11972.8671875,10393.1181640625,89.31181640625,0.0,12062.17900390625,16.3,0.76,0.0,0.0
101,5,train_0119,12130.2216796875,10434.6005859375,93.46005859375,0.0,12223.68173828125,16.92,0.72,0.0,0.0
102,5,train_0482,12113.939453125,10022.763671875,52.2763671875,0.0,12166.2158203125,15.7,0.66,0.0,0.0
103,5,train_0004,12551.259765625,10848.748046875,134.87480468750002,0.0,12686.1345703125,19.08,0.72,0.0,0.0
104,5,train_0478,12694.9873046875,10390.619140625,89.06191406250001,0.0,12784.04921875,16.04,0.78,0.0,0.0
105,5,train_0472,12439.2841796875,10587.541015625,108.75410156250001,0.0,12548.03828125,17.2,0.58,0.0,0.0
106,5,train_0468,11920.5029296875,10355.3740234375,85.53740234375,0.0,12006.04033203125,15.68,0.72,0.0,0.0
107,5,train_0398,11949.873046875,10423.7421875,92.37421875000001,0.0,12042.247265625,14.52,0.7,0.0,0.0
108,5,train_0282,11991.791015625,10412.560546875,91.25605468750001,0.0,12083.0470703125,14.76,0.7,0.0,0.0
109,5,train_0423,11976.40625,10318.1416015625,81.81416015625001,0.0,12058.22041015625,18.58,0.78,0.0,0.0
110,5,train_0166,11918.0908203125,10492.8720703125,99.28720703125,0.0,12017.37802734375,14.44,0.72,0.0,0.0
111,5,train_0468,11773.7822265625,10394.849609375,89.4849609375,0.0,11863.2671875,15.2,0.6,0.0,0.0
112,6,train_0333,12566.7890625,11117.826171875,161.78261718750002,0.0,12728.5716796875,15.8,0.62,0.0,0.0
113,6,train_0275,12164.025390625,10486.162109375,98.6162109375,0.0,12262.6416015625,14.7,0.56,0.0,0.0
114,6,train_0303,12027.89453125,10100.0791015625,60.007910156250006,0.0,12087.90244140625,16.42,0.46,0.0,0.0
115,6,train_0341,12390.888671875,10849.95703125,134.995703125,0.0,12525.884375,17.4,0.68,0.0,0.0
116,6,train_0022,12387.853515625,10661.00390625,116.100390625,0.0,12503.95390625,17.26,0.64,0.0,0.0
117,6,train_0083,12127.572265625,10338.05078125,83.80507812500001,0.0,12211.37734375,15.3,0.74,0.0,0.0
118,6,train_0147,12267.509765625,11030.34765625,153.034765625,0.0,12420.54453125,14.36,0.62,0.0,0.0
119,6,train_0068,12414.0830078125,10381.80078125,88.18007812500001,0.0,12502.2630859375,16.06,0.66,0.0,0.0
120,6,train_0263,12047.6328125,10065.02734375,56.502734375,0.0,12104.135546875,14.94,0.66,0.0,0.0
121,6,train_0401,11543.689453125,10457.587890625,95.7587890625,0.0,11639.4482421875,17.68,0.62,0.0,0.0
122,6,train_0392,12467.080078125,10579.1787109375,107.91787109375001,0.0,12574.99794921875,16.3,0.72,0.0,0.0
123,6,train_0282,11926.83984375,10465.625,96.5625,0.0,12023.40234375,15.58,0.7,0.0,0.0
124,6,train_0513,12431.5625,10488.904296875,98.8904296875,0.0,12530.4529296875,14.48,0.62,0.0,0.0
125,6,train_0339,12853.8017578125,10769.888671875,126.9888671875,0.0,12980.790625,15.82,0.66,0.0,0.0
126,6,train_0047,12151.337890625,10444.421875,94.4421875,0.0,12245.780078125,13.78,0.54,0.0,0.0
127,6,train_0458,12440.70703125,10924.658203125,142.4658203125,0.0,12583.1728515625,16.46,0.54,0.0,0.0
128,7,train_0344,12236.146484375,10676.7880859375,117.67880859375,0.0,12353.82529296875,14.94,0.58,0.0,0.0
129,7,train_0380,12162.9462890625,10093.427734375,59.3427734375,0.0,12222.2890625,15.5,0.62,0.0,0.0
130,7,train_0339,12706.6806640625,10686.2294921875,118.62294921875001,0.0,12825.30361328125,16.2,0.58,0.0,0.0
131,7,train_0332,12154.2431640625,10158.3955078125,65.83955078125,0.0,12220.08271484375,16.66,0.76,0.0,0.0
132,7,train_0054,12341.5185546875,10471.8984375,97.18984375000001,0.0,12438.7083984375,16.5,0.64,0.0,0.0
133,7,train_0335,12353.927734375,10842.11328125,134.211328125,0.0,12488.1390625,18.2,0.62,0.0,0.0
134,7,train_0476,12064.9697265625,10663.21484375,116.32148437500001,0.0,12181.2912109375,17.7,0.68,0.0,0.0
135,7,train_0182,12656.74609375,10825.623046875,132.56230468750002,0.0,12789.3083984375,16.36,0.76,0.0,0.0
136,7,train_0361,12505.9931640625,10818.0068359375,131.80068359375,0.0,12637.79384765625,17.44,0.64,0.0,0.0
137,7,train_0018,12199.203125,10798.0625,129.80625,0.0,12329.009375,14.38,0.48,0.0,0.0
