episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
18,1,train_0059,12573.9345703125,10541.232421875,-269.8767578125,269.8767578125,12304.0578125,15.5,0.66,0.0,0.0
19,1,train_0178,12355.638671875,10204.0029296875,-303.59970703125003,303.59970703125003,12052.03896484375,15.9,0.72,0.0,0.0
20,1,train_0099,12203.923828125,9850.5419921875,-338.94580078125,338.94580078125,11864.97802734375,17.0,0.64,0.0,0.0
21,1,train_0580,12637.40625,10910.419921875,-232.9580078125,232.9580078125,12404.4482421875,16.84,0.74,0.0,0.0
22,1,train_0436,12465.0263671875,10833.619140625,-240.63808593750002,240.63808593750002,12224.38828125,16.8,0.6,0.0,0.0
23,1,train_0551,11895.18359375,10593.8525390625,-264.61474609375,264.61474609375,11630.56884765625,16.18,0.62,0.0,0.0
24,1,train_0169,12173.564453125,9941.1787109375,-329.88212890625005,329.88212890625005,11843.68232421875,16.3,0.76,0.0,0.0
25,1,train_0381,11908.091796875,10488.875,-275.1125,275.1125,11632.979296875,15.36,0.64,0.0,0.0
26,1,train_0362,12038.3515625,10502.0390625,-273.79609375,273.79609375,11764.55546875,15.88,0.68,0.0,0.0
27,1,train_0451,12590.849609375,10369.7890625,-287.02109375000003,287.02109375000003,12303.828515625,15.08,0.62,0.0,0.0
28,1,train_0070,11774.27734375,10202.3359375,-303.76640625,303.76640625,11470.5109375,14.6,0.6,0.0,0.0
29,1,train_0309,12369.7451171875,10582.322265625,-265.7677734375,265.7677734375,12103.97734375,14.66,0.58,0.0,0.0
30,1,train_0386,12600.126953125,10315.8359375,-292.41640625,292.41640625,12307.710546875,15.24,0.66,0.0,0.0
31,1,train_0495,12440.71484375,10476.966796875,-276.30332031250003,276.30332031250003,12164.4115234375,18.68,0.68,0.0,0.0
32,2,train_0393,12351.021484375,10688.75,-255.125,255.125,12095.896484375,13.44,0.58,0.0,0.0
33,2,train_0269,11860.244140625,10183.99609375,-305.600390625,305.600390625,11554.64375,16.84,0.68,0.0,0.0
34,2,train_0276,12619.310546875,9986.88671875,-325.31132812500005,325.31132812500005,12293.99921875,16.08,0.46,0.0,0.0
35,2,train_0203,12659.3212890625,11156.501953125,-208.3498046875,208.3498046875,12450.971484375,13.68,0.58,0.0,0.0
36,2,train_0094,11850.130859375,10370.84765625,-286.915234375,286.915234375,11563.215625,15.32,0.6,0.0,0.0
37,2,train_0166,12179.65625,10388.708984375,-285.1291015625,285.1291015625,11894.5271484375,14.66,0.64,0.0,0.0
38,2,train_0087,12616.498046875,10456.21875,-278.378125,278.378125,12338.119921875,15.98,0.66,0.0,0.0
