scenario_id,seed,method,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,mean_decision_latency_ms,p95_decision_latency_ms
reproduction_3691718,3691718,s1_zero_delay,12051.330078125,10112.7607421875,-312.72392578125005,312.72392578125005,11738.60615234375,3.94,0.0,0.0,0.0,,
reproduction_3691718,3691718,s2_single_dc_temporal,11839.6591796875,9924.5703125,-331.54296875,331.54296875,11508.1162109375,10.44,0.0,0.0,0.0,,
reproduction_3691718,3691718,greedy_spatiotemporal,10957.69140625,10557.521484375,-268.2478515625,268.2478515625,10689.4435546875,16.3,0.72,0.0,0.0,,
reproduction_3691718,3691718,source_ppo_attention,10959.44140625,10535.70703125,-270.42929687500003,270.42929687500003,10689.012109375,15.9,0.68,0.0,0.0,14.45371400215663,3.1060250010341406
