episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
0,0,train_0511,11875.6796875,10551.1953125,-268.88046875000003,268.88046875000003,11606.79921875,16.0,0.74,0.0,0.0
1,0,train_0107,12813.7958984375,10500.6640625,-273.93359375,273.93359375,12539.8623046875,15.64,0.72,0.0,0.0
2,0,train_0015,12368.99609375,10106.16015625,-313.383984375,313.383984375,12055.612109375,15.6,0.66,0.0,0.0
3,0,train_0383,12056.3828125,10670.470703125,-256.9529296875,256.9529296875,11799.4298828125,17.32,0.68,0.0,0.0
4,0,train_0219,12417.0908203125,10491.7373046875,-274.82626953125003,274.82626953125003,12142.26455078125,15.96,0.58,0.0,0.0
5,0,train_0280,12409.85546875,10656.998046875,-258.3001953125,258.3001953125,12151.5552734375,17.66,0.66,0.0,0.0
6,0,train_0047,12097.923828125,10263.8076171875,-297.61923828125003,297.61923828125003,11800.30458984375,14.28,0.62,0.0,0.0
7,0,train_0222,12651.0615234375,10034.0107421875,-320.59892578125005,320.59892578125005,12330.46259765625,18.18,0.64,0.0,0.0
8,0,train_0386,12475.9892578125,10481.279296875,-275.8720703125,275.8720703125,12200.1171875,15.66,0.68,0.0,0.0
9,0,train_0212,12374.6015625,10186.6787109375,-305.33212890625003,305.33212890625003,12069.26943359375,15.12,0.66,0.0,0.0
10,0,train_0498,12506.595703125,10637.5517578125,-260.24482421875,260.24482421875,12246.35087890625,14.82,0.6,0.0,0.0
11,0,train_0474,12595.638671875,10294.98828125,-294.501171875,294.501171875,12301.1375,14.06,0.5,0.0,0.0
12,0,train_0422,12418.5751953125,10553.9365234375,-268.60634765625,268.60634765625,12149.96884765625,15.2,0.54,0.0,0.0
13,0,train_0543,12467.044921875,10501.390625,-273.86093750000003,273.86093750000003,12193.183984375,16.14,0.9,0.0,0.0
14,0,train_0432,12295.505859375,10501.1435546875,-273.88564453125,273.88564453125,12021.62021484375,15.16,0.68,0.0,0.0
15,0,train_0106,12673.7109375,10915.234375,-232.4765625,232.4765625,12441.234375,16.58,0.72,0.0,0.0
16,1,train_0515,12635.095703125,10220.7265625,-301.92734375000003,301.92734375000003,12333.168359375,16.8,0.68,0.0,0.0
17,1,train_0391,12359.60546875,10306.98828125,-293.301171875,293.301171875,12066.304296875,13.84,0.58,0.0,0.0
18,1,train_0059,12573.9345703125,10541.232421875,-269.8767578125,269.8767578125,12304.0578125,15.5,0.66,0.0,0.0
19,1,train_0178,12355.638671875,10204.0029296875,-303.59970703125003,303.59970703125003,12052.03896484375,15.9,0.72,0.0,0.0
20,1,train_0099,12203.923828125,9850.5419921875,-338.94580078125,338.94580078125,11864.97802734375,17.0,0.64,0.0,0.0
21,1,train_0580,12639.958984375,10905.3046875,-233.46953125000002,233.46953125000002,12406.489453125,16.74,0.74,0.0,0.0
22,1,train_0436,12465.0263671875,10833.619140625,-240.63808593750002,240.63808593750002,12224.38828125,16.8,0.6,0.0,0.0
23,1,train_0551,11917.841796875,10569.65234375,-267.03476562500003,267.03476562500003,11650.80703125,16.18,0.6,0.0,0.0
24,1,train_0169,12173.564453125,9941.1787109375,-329.88212890625005,329.88212890625005,11843.68232421875,16.3,0.76,0.0,0.0
25,1,train_0381,11919.2783203125,10471.857421875,-276.8142578125,276.8142578125,11642.4640625,15.26,0.62,0.0,0.0
26,1,train_0362,12060.224609375,10487.0205078125,-275.29794921875003,275.29794921875003,11784.92666015625,15.88,0.7,0.0,0.0
27,1,train_0451,12594.5576171875,10372.62109375,-286.73789062500003,286.73789062500003,12307.8197265625,15.04,0.64,0.0,0.0
28,1,train_0070,11774.27734375,10202.3359375,-303.76640625,303.76640625,11470.5109375,14.6,0.6,0.0,0.0
29,1,train_0309,12369.7451171875,10582.322265625,-265.7677734375,265.7677734375,12103.97734375,14.66,0.58,0.0,0.0
30,1,train_0386,12712.26171875,10239.4375,-300.05625000000003,300.05625000000003,12412.20546875,15.36,0.68,0.0,0.0
31,1,train_0495,12440.71484375,10476.966796875,-276.30332031250003,276.30332031250003,12164.4115234375,18.68,0.68,0.0,0.0
32,2,train_0393,12351.46875,10616.765625,-262.3234375,262.3234375,12089.1453125,13.44,0.62,0.0,0.0
33,2,train_0269,11892.2392578125,10172.4091796875,-306.75908203125,306.75908203125,11585.48017578125,16.84,0.7,0.0,0.0
34,2,train_0276,12687.12109375,9895.08203125,-334.49179687500003,334.49179687500003,12352.629296875,16.08,0.48,0.0,0.0
35,2,train_0203,12659.3212890625,11156.501953125,-208.3498046875,208.3498046875,12450.971484375,13.68,0.58,0.0,0.0
36,2,train_0094,11857.4794921875,10372.865234375,-286.71347656250003,286.71347656250003,11570.766015625,15.3,0.64,0.0,0.0
37,2,train_0166,12231.560546875,10330.615234375,-290.9384765625,290.9384765625,11940.6220703125,14.64,0.66,0.0,0.0
38,2,train_0087,12616.498046875,10456.21875,-278.378125,278.378125,12338.119921875,15.98,0.66,0.0,0.0
39,2,train_0135,12412.345703125,10596.4541015625,-264.35458984375003,264.35458984375003,12147.99111328125,15.88,0.6,0.0,0.0
40,2,train_0512,12436.2880859375,10283.041015625,-295.69589843750003,295.69589843750003,12140.5921875,15.54,0.7,0.0,0.0
41,2,train_0315,13064.7265625,10768.654296875,-247.13457031250002,247.13457031250002,12817.5919921875,15.78,0.54,0.0,0.0
42,2,train_0054,12248.791015625,10456.5478515625,-278.34521484375,278.34521484375,11970.44580078125,15.58,0.66,0.0,0.0
