benchmark,verdict,holm_significant,n,mean_proposed,mean_baseline,mean_diff,pct_improvement,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue,cohens_d,significant_alpha_0.05_uncorrected
no_finetune,tie,False,100,11229.650014558569,11228.776508619852,-0.873505938715789,-0.00777917289604291,-1.3566308300193883,0.1779840965021128,1817.0,0.021640989192728503,-0.13566308300193883,False
no_topology,tie,False,100,11229.650014558569,11230.438434732945,0.7884201743769154,0.007020386416424566,0.8612504169010976,0.3911813070871837,2409.0,0.6900069147093293,0.08612504169010976,False
TAGS,win,True,100,11229.650014558569,11854.013080789136,624.3630662305685,5.267102895663448,75.71144396246542,1.9297907230674587e-89,0.0,3.8965598450959084e-18,7.571144396246542,True
