seed,n_workloads,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,mean_decision_latency_ms,p95_decision_latency_ms,decision_calls,slack_scale
2000,6.0,10455.417043052632,9448.910012581146,-5.1089987418854435,5.1089987418854435,10450.308044310746,9.275862068965518,0.6551724137931034,0.0,0.0,5.0,6.32161998655647,6.589199975132942,5.0,
2001,6.0,10295.223881988564,9447.609999631417,-5.2390000368583065,5.2390000368583065,10289.984881951706,13.0,0.9655172413793104,0.0,0.0,5.0,5.959159997291863,6.93355998955667,5.0,
2002,6.0,10325.408497181685,9368.312862218085,-13.168713778191524,13.168713778191524,10312.239783403493,6.724137931034483,0.6206896551724138,0.0,0.0,5.0,5.920960009098053,6.261139991693199,5.0,
2003,6.0,10248.983460469091,9522.028904553783,2.2028904553782924,0.0,10251.18635092447,7.896551724137931,0.1724137931034483,0.0,0.0,5.0,6.063919991720468,6.369519990403205,5.0,
2004,6.0,10449.113950465537,9823.506303865352,32.35063038653516,0.0,10481.464580852073,11.96551724137931,0.7241379310344828,0.0,0.0,5.0,6.527019990608096,7.637559995055199,5.0,
2005,6.0,10357.615926853454,9681.998951368725,18.19989513687251,0.0,10375.815821990327,14.586206896551724,0.5862068965517241,0.0,0.0,5.0,6.537559977732599,7.303579954896122,5.0,
2006,6.0,10351.556491486082,9705.148322451983,20.514832245198342,0.0,10372.071323731281,11.310344827586206,0.8275862068965517,0.0,0.0,5.0,6.842640007380396,7.767759996932,5.0,
2007,6.0,10180.193419964882,9278.594705984866,-22.140529401513415,22.140529401513415,10158.05289056337,12.931034482758621,0.7241379310344828,0.0,0.0,5.0,6.814180000219494,7.168539974372834,5.0,
2008,6.0,10183.677477166473,9512.428756826868,1.2428756826868268,0.0,10184.92035284916,9.241379310344827,0.7241379310344828,0.0,0.0,5.0,6.363639992196113,6.606999994255602,5.0,
2009,6.0,10223.877561726955,9463.556967286275,-3.644303271372519,3.644303271372519,10220.233258455582,10.448275862068966,0.7586206896551724,0.0,0.0,5.0,6.955080013722181,7.245380012318492,5.0,
2010,6.0,10398.053154912785,9888.062759788834,38.80627597888343,0.0,10436.859430891667,9.724137931034482,0.6551724137931034,0.0,0.0,5.0,7.128459983505309,8.26587995979935,5.0,
2011,6.0,10361.975640632681,9665.933473568703,16.593347356870254,0.0,10378.56898798955,10.0,0.8620689655172413,0.0,0.0,5.0,6.882979988586158,7.430099975317717,5.0,
2012,6.0,10171.244775319996,9355.29249650984,-14.47075034901609,14.47075034901609,10156.77402497098,8.89655172413793,0.6896551724137931,0.0,0.0,5.0,6.1925799935124815,6.9601599825546145,5.0,
2013,6.0,10652.190102154927,9863.62249083733,36.36224908373297,0.0,10688.55235123866,10.758620689655173,0.6206896551724138,0.0,0.0,5.0,7.300660014152527,8.283360011409968,5.0,
2014,6.0,10420.960800158191,10002.056151324568,50.20561513245684,0.0,10471.166415290649,11.310344827586206,0.4827586206896552,0.0,0.0,5.0,6.933700002264231,7.670100010000169,5.0,
2015,6.0,10521.61606337451,9863.898458350157,36.3898458350157,0.0,10558.005909209525,12.96551724137931,0.7241379310344828,0.0,0.0,5.0,6.900720007251948,7.354140013922006,5.0,
2016,6.0,10422.047434158496,9730.58092652128,23.058092652127925,0.0,10445.105526810625,14.10344827586207,0.7241379310344828,0.0,0.0,5.0,6.770180014427751,7.272380008362234,5.0,
2017,6.0,10401.537245218235,9802.34715931087,30.234715931086978,0.0,10431.771961149321,11.03448275862069,0.5862068965517241,0.0,0.0,5.0,7.195959985256195,8.000499964691699,5.0,
2018,6.0,10490.910848180163,9400.213295193365,-9.97867048066346,9.97867048066346,10480.9321776995,7.344827586206897,0.5862068965517241,0.0,0.0,5.0,7.034499978180975,7.309459976386279,5.0,
2019,6.0,10240.625632972664,9593.319010495918,9.331901049591762,0.0,10249.957534022256,15.482758620689655,0.8275862068965517,0.0,0.0,5.0,6.993160001002252,7.5966999982483685,5.0,
2000,7.0,10637.420747340597,9886.690005269704,38.66900052697038,0.0,10676.089747867567,10.057142857142857,0.7714285714285715,0.0,0.0,5.0,7.120560004841536,7.786480011418462,5.0,
2001,7.0,10574.708835165813,9986.52092627442,48.65209262744193,0.0,10623.360927793256,14.142857142857142,0.6571428571428571,0.0,0.0,5.0,6.8345800042152405,7.208840001840144,5.0,
2002,7.0,10675.189184985471,9689.86689559776,18.986689559775915,0.0,10694.175874545246,8.085714285714285,0.45714285714285713,0.0,0.0,5.0,6.929780007340014,7.3259200202301145,5.0,
2003,7.0,10569.892403277798,10007.606998231342,50.7606998231342,0.0,10620.653103100933,10.942857142857143,0.9142857142857143,0.0,0.0,5.0,6.753260002005845,6.884720001835376,5.0,
2004,7.0,10753.774293647188,10240.654414763296,74.06544147632958,0.0,10827.839735123518,11.742857142857142,0.6285714285714286,0.0,0.0,5.0,7.156099996063858,7.931960001587868,5.0,
2005,7.0,10570.748352860708,10044.64024191125,54.46402419112492,0.0,10625.212377051834,11.914285714285715,0.5428571428571428,0.0,0.0,5.0,7.934219983872026,10.069279954768717,5.0,
2006,7.0,10755.867298508956,10397.874447918955,89.78744479189555,0.0,10845.65474330085,13.17142857142857,0.42857142857142855,0.0,0.0,5.0,15.30461999354884,24.14494000840932,5.0,
2007,7.0,10418.767169478038,9728.504977756516,22.85049777565164,0.0,10441.61766725369,8.857142857142858,0.5142857142857142,0.0,0.0,5.0,11.305359995458275,18.68052000645548,5.0,
2008,7.0,10446.351490438226,9842.864952664395,34.28649526643949,0.0,10480.637985704667,9.085714285714285,0.7142857142857143,0.0,0.0,5.0,7.401059998665005,10.235700011253357,5.0,
2009,7.0,10367.199678911058,9653.12479234078,15.31247923407791,0.0,10382.512158145137,8.114285714285714,0.8571428571428571,0.0,0.0,5.0,7.356439996510744,7.706579985097051,5.0,
2010,7.0,10478.065396018683,9972.890443385191,47.289044338519126,0.0,10525.354440357201,8.714285714285714,0.6571428571428571,0.0,0.0,5.0,8.902920014224946,13.227520033251492,5.0,
2011,7.0,10530.266958370144,9901.732392816892,40.17323928168917,0.0,10570.440197651833,10.342857142857143,0.6571428571428571,0.0,0.0,5.0,7.7097399975173175,10.405900003388524,5.0,
2012,7.0,10341.29790768354,9606.539299630113,10.653929963011251,0.0,10351.951837646551,10.257142857142858,0.5714285714285714,0.0,0.0,5.0,6.958420004229993,7.553140015807003,5.0,
2013,7.0,10606.77478829919,9969.64306502216,46.96430650221592,0.0,10653.739094801405,12.542857142857143,0.8,0.0,0.0,5.0,6.372099986765534,6.680279958527535,5.0,
2014,7.0,10849.877769666975,10591.086120276166,109.10861202761663,0.0,10958.98638169459,13.057142857142857,0.6,0.0,0.0,5.0,6.674219993874431,7.0134799694642425,5.0,
2015,7.0,10705.937392198135,10081.58262298642,58.15826229864197,0.0,10764.095654496778,10.085714285714285,0.7142857142857143,0.0,0.0,5.0,6.687499990221113,6.830219982657582,5.0,
2016,7.0,10803.606248125208,9927.415301675428,42.741530167542805,0.0,10846.347778292751,11.114285714285714,0.6285714285714286,0.0,0.0,5.0,6.80154002038762,8.105000003706664,5.0,
2017,7.0,10601.218707706112,10003.157694113968,50.315769411396836,0.0,10651.534477117508,11.342857142857143,0.6571428571428571,0.0,0.0,5.0,6.8835000158287585,7.700120017398149,5.0,
2018,7.0,10817.506333042496,10119.09659045182,61.90965904518198,0.0,10879.41599208768,10.857142857142858,0.6857142857142857,0.0,0.0,5.0,6.843840016517788,7.210540026426315,5.0,
2019,7.0,10467.15437361386,9952.157873627963,45.215787362796256,0.0,10512.370160976656,15.257142857142858,0.8,0.0,0.0,5.0,6.7899200017564,7.143580005504191,5.0,
2000,8.0,10807.708529979278,10195.864461291427,69.58644612914269,0.0,10877.29497610842,9.375,0.65,0.0,0.0,5.0,6.814700015820563,7.1140400134027,5.0,
2001,8.0,10887.356180024155,10434.452031585286,93.44520315852861,0.0,10980.801383182683,10.75,0.8,0.0,0.0,5.0,6.8520199856720865,7.354619994293898,5.0,
2002,8.0,10599.211035789202,9846.003825377356,34.60038253773564,0.0,10633.811418326937,8.3,0.75,0.0,0.0,5.0,6.874679995235056,7.2121199569664896,5.0,
2003,8.0,10934.821898322783,10420.587768390105,92.05877683901053,0.0,11026.880675161794,9.7,0.875,0.0,0.0,5.0,7.520159985870123,8.407900005113333,5.0,
2004,8.0,10824.705200512399,10415.745672658824,91.57456726588244,0.0,10916.279767778282,11.775,0.575,0.0,0.0,5.0,6.774900003802031,7.092460000421852,5.0,
2005,8.0,10614.012067720832,10113.568218471524,61.356821847152425,0.0,10675.368889567984,12.75,0.525,0.0,0.0,5.0,6.731959991157055,7.098020019475371,5.0,
2006,8.0,10984.678742654984,10724.297082473066,122.42970824730656,0.0,11107.10845090229,12.425,0.575,0.0,0.0,5.0,6.995140016078949,7.650419999845326,5.0,
2007,8.0,10671.005439966637,10130.268169225179,63.0268169225179,0.0,10734.032256889155,10.275,0.6,0.0,0.0,5.0,6.657079991418868,6.788440013770014,5.0,
2008,8.0,10625.13019981412,10269.976778869772,76.99767788697719,0.0,10702.127877701098,8.8,0.425,0.0,0.0,5.0,6.718300003558397,6.913940014783293,5.0,
2009,8.0,10364.716152788871,9637.988980920903,13.798898092090349,0.0,10378.515050880962,10.35,0.725,0.0,0.0,5.0,6.817780004348606,7.0541199878789485,5.0,
2010,8.0,10805.523329424897,10240.788492620286,74.0788492620286,0.0,10879.602178686926,8.75,0.3,0.0,0.0,5.0,6.473959994036704,6.924879981670529,5.0,
2011,8.0,10806.871499923107,10356.286956083419,85.62869560834189,0.0,10892.50019553145,9.8,0.8,0.0,0.0,5.0,6.926739995833486,7.502119988203049,5.0,
2012,8.0,10671.987571400883,10268.501585000373,76.8501585000373,0.0,10748.83772990092,13.175,0.925,0.0,0.0,5.0,6.699039996601641,6.894799985457212,5.0,
2013,8.0,10815.141530382574,10351.772257892826,85.1772257892826,0.0,10900.318756171857,12.5,0.8,0.0,0.0,5.0,7.0209399913437665,7.426040002610534,5.0,
2014,8.0,11045.70643781137,10954.383424404981,145.43834244049813,0.0,11191.144780251869,14.6,0.85,0.0,0.0,5.0,6.73426000867039,7.111500028986484,5.0,
2015,8.0,10885.978614861431,10289.398609004063,78.93986090040636,0.0,10964.918475761837,11.35,0.825,0.0,0.0,5.0,7.03442000085488,7.797179988119751,5.0,
2016,8.0,10904.55302235361,10479.496642282062,97.94966422820617,0.0,11002.502686581816,14.375,0.5,0.0,0.0,5.0,8.134739997331053,10.309880005661398,5.0,
2017,8.0,10588.406148833448,10161.972253670523,66.19722536705231,0.0,10654.6033742005,12.8,0.65,0.0,0.0,5.0,6.936119997408241,7.820499979425222,5.0,
2018,8.0,10823.273143627008,10042.258847815243,54.22588478152429,0.0,10877.499028408532,11.325,0.925,0.0,0.0,5.0,10.896699992008507,17.852059984579682,5.0,
2019,8.0,10788.813269740034,10490.052203472405,99.00522034724054,0.0,10887.818490087275,14.625,0.6,0.0,0.0,6.0,7.110783335519955,8.33035001414828,6.0,
2000,9.0,10914.924208799222,10414.95494440048,91.49549444004806,0.0,11006.419703239271,11.066666666666666,0.6888888888888889,0.0,0.0,5.0,7.042580004781485,8.041200006846339,5.0,
2001,9.0,11113.313616931235,10858.430113787894,135.84301137878938,0.0,11249.156628310024,13.688888888888888,0.7555555555555555,0.0,0.0,5.0,9.171579987742007,15.984099986962972,5.0,
2002,9.0,10672.453783446352,10090.677323047534,59.06773230475338,0.0,10731.521515751105,9.666666666666666,0.6,0.0,0.0,5.0,18.269119993783534,27.04989998601377,5.0,
2003,9.0,10995.778338305747,10635.903048941378,113.59030489413782,0.0,11109.368643199885,14.022222222222222,0.6666666666666666,0.0,0.0,5.0,15.765780000947416,26.460760016925633,5.0,
2004,9.0,10810.884831555175,10554.126677689197,105.41266776891972,0.0,10916.297499324095,11.88888888888889,0.5111111111111111,0.0,0.0,5.0,16.84160000877455,29.303760023321956,5.0,
2005,9.0,10830.6272286423,10441.280070580033,94.12800705800328,0.0,10924.755235700304,11.644444444444444,0.5111111111111111,0.0,0.0,5.0,14.897120010573417,26.946060033515096,5.0,
2006,9.0,10875.121634236864,10681.329707171264,118.13297071712641,0.0,10993.25460495399,13.2,0.8666666666666667,0.0,0.0,5.0,11.670820007566363,20.363920007366684,5.0,
2007,9.0,10918.364882897473,10476.455488862981,97.6455488862981,0.0,11016.01043178377,10.422222222222222,0.6222222222222222,0.0,0.0,5.0,19.581039994955063,29.680720018222928,5.0,
2008,9.0,10831.33092988691,10458.090542892505,95.80905428925053,0.0,10927.13998417616,7.377777777777778,0.8,0.0,0.0,5.0,15.819879982154816,26.541779993567612,5.0,
2009,9.0,10629.5470630608,10112.70517184518,61.270517184518035,0.0,10690.817580245317,10.8,0.4,0.0,0.0,5.0,15.586200007237494,26.684639998711642,5.0,
2010,9.0,10994.640565098865,10668.313681145977,116.83136811459772,0.0,11111.471933213463,10.4,0.4222222222222222,0.0,0.0,5.0,15.729720005765557,28.497040004003793,5.0,
2011,9.0,11010.947699087232,10749.862377003974,124.9862377003974,0.0,11135.93393678763,12.2,0.6222222222222222,0.0,0.0,5.0,13.98690000642091,18.594759982079268,5.0,
2012,9.0,10796.375257514585,10606.048514640112,110.60485146401116,0.0,10906.980108978596,13.466666666666667,0.7111111111111111,0.0,0.0,5.0,15.878160006832331,25.197820004541427,5.0,
2013,9.0,11154.797061325538,10725.828653822842,122.58286538228423,0.0,11277.379926707823,13.177777777777777,0.8444444444444444,0.0,0.0,5.0,18.240879999939352,28.16431998508051,5.0,
2014,9.0,11002.110744920727,10835.369830055484,133.53698300554842,0.0,11135.647727926274,13.777777777777779,0.7111111111111111,0.0,0.0,6.0,21.649999999984477,29.230250002001412,6.0,
2015,9.0,11101.596830481092,10844.946552862108,134.49465528621076,0.0,11236.091485767303,13.488888888888889,0.5333333333333333,0.0,0.0,5.0,15.720560005865991,23.808819986879826,5.0,
